PEOU1,PEOU2,PEOU3,PEOU4,PEOU5,PU1,PU2,PU3,PU4,PU5,PE1,PE2,PE3,PE4,PE5,SI1,SI2,SI3,SI4,CSE1,CSE2,CSE3,CSE4,CSE5,PR1,PR2,PR3,PR4,BI1,BI2,BI3,BI4,AU1,AU2,AU3,AU1,AU2,AU3
3,3,2,3,5,4,3,4,4,3,1,3,2,3,3,3,3,3,4,5,4,5,4,4,3,4,2,4,3,4,3,3,3,4,3.0,3,4,3.0
2,2,2,3,3,4,4,4,3,2,2,3,2,3,3,2,3,3,3,3,4,4,3,3,2,2,3,2,3,3,3,4,3,3,3.0,3,3,3.0
2,3,3,2,3,3,2,4,4,3,2,3,2,2,3,3,4,3,4,3,3,3,2,3,3,3,4,4,4,3,3,2,3,2,3.0,3,2,3.0
4,4,4,3,4,3,3,4,3,4,2,3,2,2,3,3,3,4,4,3,3,3,3,4,3,3,3,3,2,3,3,1,3,4,3.0,3,4,3.0
1,2,2,1,2,3,3,1,2,2,3,3,3,3,2,4,3,3,3,2,3,2,2,3,4,4,4,4,3,3,2,3,4,3,2.0,4,3,2.0
1,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,3,1,2,2,4,4,1,5,3,3,2,3,3,3.0,3,3,3.0
4,1,3,2,1,3,2,3,2,2,4,3,4,4,4,3,2,2,3,2,4,3,3,3,3,4,4,2,3,3,3,3,4,3,5.0,4,3,5.0
3,3,3,3,4,3,3,3,2,2,2,4,3,2,3,3,3,3,4,3,3,3,3,3,3,2,2,3,2,3,3,2,2,2,4.0,2,2,4.0
4,5,5,4,4,4,4,5,4,4,1,3,2,1,2,3,4,4,4,4,4,3,2,4,1,2,1,2,4,4,3,4,3,4,4.0,3,4,4.0
4,3,3,3,3,2,3,3,3,2,2,2,1,2,2,3,3,3,3,3,3,3,3,2,4,5,4,3,2,2,3,1,2,3,3.0,2,3,3.0
4,4,3,3,4,4,2,3,4,3,4,3,3,3,3,2,3,2,3,3,4,4,3,4,4,4,5,3,4,3,3,4,2,2,3.0,2,2,3.0
3,2,3,3,2,4,3,3,2,2,3,3,2,3,3,3,2,3,3,2,1,1,2,3,3,3,3,3,1,2,1,2,1,3,3.0,1,3,3.0
4,4,3,4,4,2,2,2,2,3,3,3,3,4,2,2,1,1,1,4,3,3,2,3,4,4,4,5,2,2,2,2,2,2,2.0,2,2,2.0
3,2,3,2,2,3,3,3,2,3,3,3,3,3,3,2,2,2,3,1,2,2,2,3,3,3,2,3,4,3,3,3,4,3,4.0,4,3,4.0
4,3,3,2,3,3,3,4,4,3,4,3,5,3,4,3,3,3,2,5,4,3,3,3,2,3,4,4,3,4,3,3,3,3,3.0,3,3,3.0
2,3,3,4,4,4,3,3,2,3,4,3,3,3,3,4,3,4,5,1,3,2,2,3,3,3,3,2,4,4,3,3,3,3,3.0,3,3,3.0
3,3,3,2,3,3,3,4,1,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3,2,3,3,3,3,2,4,3,4,3,4.0,4,3,4.0
2,2,4,3,4,2,2,2,3,2,2,3,2,2,4,2,2,3,2,2,5,4,3,3,2,2,2,2,4,3,3,2,4,3,3.0,4,3,3.0
2,4,3,3,3,2,3,3,2,3,4,3,3,4,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3.0,3,3,3.0
4,3,4,3,3,4,3,4,3,3,5,5,3,4,4,2,2,2,1,2,3,2,2,3,3,3,3,3,3,4,3,3,2,3,4.0,2,3,4.0
5,4,5,4,4,3,2,3,3,3,3,3,3,3,4,2,2,2,3,4,3,4,4,4,4,4,4,5,4,4,2,3,5,4,4.0,5,4,4.0
5,4,4,4,5,4,3,4,4,3,3,4,3,3,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3.0,3,3,3.0
3,2,4,3,3,2,3,3,3,3,3,3,4,3,3,2,3,3,3,4,4,4,2,3,3,3,4,2,3,2,1,3,4,3,3.0,4,3,3.0
2,2,3,2,3,3,5,4,3,3,4,5,4,3,4,2,2,3,3,4,4,3,3,3,4,5,3,4,2,3,4,2,1,1,2.0,1,1,2.0
5,5,4,3,4,4,3,3,3,3,3,4,3,4,4,2,2,3,2,3,4,4,3,3,3,4,4,4,3,2,2,3,4,3,3.0,4,3,3.0
2,3,3,3,4,3,4,4,3,3,4,3,3,2,4,3,3,3,3,2,2,3,2,2,2,2,3,2,4,4,4,5,4,3,3.0,4,3,3.0
2,3,2,1,2,4,3,3,3,4,5,4,3,4,5,3,2,2,2,3,3,2,3,2,3,3,2,4,3,3,3,2,3,4,4.0,3,4,4.0
3,3,3,2,4,3,3,5,4,3,3,4,3,3,3,3,4,3,3,2,4,4,3,3,2,2,2,1,4,5,4,3,4,3,4.0,4,3,4.0
3,3,2,2,3,3,4,3,2,2,3,4,1,3,4,3,2,3,3,4,4,4,3,4,2,2,2,3,4,3,4,4,4,4,5.0,4,4,5.0
3,2,3,2,5,2,3,4,3,3,2,3,3,3,2,4,4,4,4,2,1,1,2,3,3,3,2,4,4,3,4,4,3,3,3.0,3,3,3.0
3,2,3,2,2,5,3,4,4,3,3,3,3,3,3,3,3,4,4,2,2,2,2,2,4,5,5,4,4,3,3,2,4,3,4.0,4,3,4.0
3,2,4,1,2,3,3,3,2,3,4,3,3,2,4,2,3,3,3,4,3,4,3,3,3,3,4,3,4,3,3,3,3,3,3.0,3,3,3.0
3,2,2,3,3,3,3,3,3,2,2,4,3,3,4,2,3,2,3,3,3,3,4,4,3,2,3,2,3,3,3,3,2,3,3.0,2,3,3.0
2,2,2,2,3,1,3,2,2,3,4,2,3,2,3,3,2,2,2,4,4,4,3,4,4,4,4,4,2,1,2,2,4,2,4.0,4,2,4.0
4,3,4,3,3,4,3,5,3,5,4,4,3,4,4,3,2,2,2,3,2,3,3,2,2,1,2,2,5,5,4,3,3,3,3.0,3,3,3.0
3,4,5,2,3,4,4,4,4,5,5,3,2,3,4,4,3,3,4,3,4,3,3,3,2,2,2,2,4,4,3,3,3,3,3.0,3,3,3.0
2,1,2,2,2,3,2,4,3,3,3,3,2,3,3,3,2,3,2,2,4,4,2,2,5,4,4,3,5,3,4,3,4,3,4.0,4,3,4.0
2,3,3,4,2,3,3,4,4,4,5,3,3,3,4,1,3,4,5,4,3,3,3,2,2,2,2,2,4,3,4,3,4,4,4.0,4,4,4.0
1,3,3,2,2,2,3,3,1,2,2,3,2,3,3,1,2,3,3,2,4,3,3,2,3,3,3,3,3,3,2,2,2,3,4.0,2,3,4.0
1,2,3,4,3,3,1,3,3,2,4,4,2,3,2,4,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,2,2,3.0,2,2,3.0
3,2,2,2,3,2,3,3,3,3,2,3,2,3,3,3,4,3,3,2,2,2,3,3,3,4,3,5,2,3,3,2,3,3,3.0,3,3,3.0
1,3,4,4,3,2,3,2,2,2,3,3,3,3,3,3,2,3,4,2,2,3,3,3,3,2,3,4,1,3,2,2,2,2,3.0,2,2,3.0
3,3,4,3,3,2,4,4,4,4,3,3,4,3,4,2,4,3,3,2,3,3,3,3,4,4,4,3,3,2,2,3,3,3,2.0,3,3,2.0
1,2,3,3,3,3,3,2,4,3,3,3,4,3,4,3,3,2,2,2,2,3,3,3,3,3,4,3,3,3,2,3,2,4,4.0,2,4,4.0
3,3,4,2,3,3,4,4,3,2,3,3,4,4,4,1,3,3,4,1,3,4,3,3,2,3,4,3,3,3,4,3,3,3,4.0,3,3,4.0
3,4,3,4,3,3,3,3,2,2,3,2,2,2,3,2,2,3,3,3,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3.0,3,3,3.0
3,4,4,3,3,3,3,3,4,4,3,2,3,4,3,3,4,3,3,3,3,2,3,3,2,3,3,4,4,3,3,3,3,3,3.0,3,3,3.0
3,2,2,2,4,3,3,4,4,3,4,3,3,3,3,4,3,4,3,3,4,4,4,3,3,3,4,4,3,3,4,4,3,3,4.0,3,3,4.0
3,3,4,4,3,3,3,4,4,4,3,3,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,4,3,3,3,4,3,4,3.0,3,4,3.0
3,2,2,3,3,3,2,3,3,4,3,3,4,3,3,2,3,4,3,3,2,3,3,3,3,3,3,4,3,2,2,3,3,3,4.0,3,3,4.0
3,3,2,3,3,2,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,2,3,3,4,3,4,3,3,3.0,3,3,3.0
3,3,2,2,2,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,4,3,3,2,1,3,3,2,4,2,3,4.0,2,3,4.0
2,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4,3,3,3,4,3,3,4,3.0,3,4,3.0
3,3,4,4,4,2,3,4,3,3,2,4,4,3,3,3,2,3,4,3,3,2,4,3,3,3,2,4,1,3,3,4,3,2,4.0,3,2,4.0
3,2,4,4,3,2,4,3,4,4,3,4,3,3,3,2,4,3,3,4,4,3,4,4,3,2,4,2,3,4,4,4,2,2,3.0,2,2,3.0
