Id
Joseph Sambrook
Richard K. Wilson
LaDeana W. Hillier
John D. McPherson
Marco A. Marra
Elaine R. Mardis
Lucinda A. Fulton
Asif Chinwalla
Kymberlie Pepin
Warren Gish
Stephanie L. Chissoe
Michael C. Wendl
Kim D. Delehaunty
Tracie L. Miner
Andrew Delehaunty
Jason Kramer
Lisa L. Cook
Robert S. Fulton
D. Johnson
Patrick Minx
Sandra W. Clifton
Trevor Hawkins
Elbert Branscomb
Paul Predki
Paul Richardson
Sarah Wenning
Tom Slezak
Norman A. Doggett
Jan‐Fang Cheng
Anne S. Olsen
Susan Lucas
Christopher J. Elkin
Edward C. Uberbacher
M.E. Frazier
James Robinson
Helga Thorvaldsdóttir
Wendy Winckler
Mitchell Guttman
Gad Getz
Aaron M. Wenger
Ahmet Zehir
Jessica Vamathevan
Dominic A. Clark
Paul Czodrowski
Edgardo A. Ferrán
George Lee
Bin Li
Anant Madabhushi
Parantu K. Shah
Michaela Spitzer
Shanrong Zhao
Sean R. Eddy
Anders Krogh
Graeme Mitchison
Paul Flicek
M Ridwan Amode
Daniel Barrell
Kathryn Beal
Konstantinos Billis
Simon Brent
Denise Carvalho‐Silva
Peter Clapham
Guy Coates
Stephen Fitzgerald
Laurent Gil
Carlos García Girón
Leo I. Gordon
Thibaut Hourlier
Sarah Hunt
Nathan Johnson
Thomas Juettemann
Andreas Kähäri
Stephen Keenan
Eugene Kulesha
Fergal J. Martin
Thomas Maurel
William McLaren
Daniel N. Murphy
Rishi Nag
Bert Overduin
Miguel Pignatelli
Bethan Pritchard
Emily Pritchard
Harpreet Singh Riat
Magali Ruffier
Dan Sheppard
Kieron Taylor
Anja Thormann
Stephen J. Trevanion
Alessandro Vullo
Steven P. Wilder
Mark Wilson
Amonida Zadissa
Bronwen Aken
Ewan Birney
Fiona Cunningham
Jennifer Harrow
Javier Herrero
Rhoda Kinsella
Matthieu Muffato
Anne Parker
Giulietta Spudich
Andrew Yates
Daniel R. Zerbino
Stephen M. J. Searle
Teri A. Manolio
Francis S. Collins
Nancy J. Cox
David B. Goldstein
Lucia A. Hindorff
David J. Hunter
Mark I. McCarthy
Erin M. Ramos
Lon R. Cardon
Aravinda Chakravarti
Judy H. Cho
Alan E. Guttmacher
Augustine Kong
Leonid Kruglyak
Charles N. Rotimi
Montgomery Slatkin
David Valle
Alice S. Whittemore
Michael Boehnke
Andrew G. Clark
Evan E. Eichler
Greg Gibson
Jonathan L. Haines
Trudy F. C. Mackay
Steven A. McCarroll
Peter M. Visscher
Barbara A. Methé
William Nelson
Mihai Pop
Heather H. Creasy
Michelle Giglio
Curtis Huttenhower
Dirk Gevers
Joseph F. Petrosino
Sahar Abubucker
Jonathan H. Badger
Ashlee M. Earl
Michael G. FitzGerald
Kymberlie Hallsworth-Pepin
Elizabeth A. Lobos
Ramana Madupu
Vincent Magrini
John C. Martin
Makedonka Mitreva
Donna M. Muzny
Erica Sodergren
James Versalovic
Aye Wollam
Kim C. Worley
Jennifer R. Wortman
Sarah Young
Qiandong Zeng
Kjersti M. Aagaard
Olukemi O. Abolude
Emma Allen‐Vercoe
Eric J. Alm
Lucia Alvarado
Gary L. Andersen
Scott Anderson
Elizabeth L. Appelbaum
Harindra Arachchi
Gary C. Armitage
Cesar Arze
Tulin Ayvaz
Carl C. Baker
Lisa Begg
Tsegahiwot Belachew
Veena Bhonagiri
Monika Bihan
Martin J. Blaser
Toby Bloom
Vivien Bonazzi
Paul Brooks
Gregory A. Buck
Christian Buhay
Dana Busam
Joseph L. Campbell
Shane R. Canon
Brandi L. Cantarel
Patrick Chain
I.-Min A. Chen
Lei Chen
Shaila Chhibba
Ken Chu
Dawn Ciulla
José C. Clemente
Sean Conlan
Jonathan Crabtree
Mary A. Cutting
Noam J. Davidovics
Catherine Davis
Todd Z. DeSantis
Carolyn Deal
Kimberley D. Delehaunty
Floyd E. Dewhirst
Elena Deych
Yan Ding
David J. Dooling
Shannon Dugan
W. Michael Dunne
A. Scott Durkin
R. C. Edgar
Rachel Erlich
Candace N. Farmer
Ruth M. Farrell
Karoline Faust
Michael Feldgarden
Victor Felix
Sheila Fisher
Anthony A. Fodor
Larry J. Forney
Leslie Foster
Valentina Di Francesco
Jonathan Friedman
Dennis C. Friedrich
Catrina C. Fronick
Lucinda Fulton
Hongyu Gao
M. Nathalia Garcia
Georgia Giannoukos
Christina Giblin
Maria Y. Giovanni
Jonathan M. Goldberg
W. N. Venables
B. D. Ripley
Abraham. Savitzky
Marcel J. E. Golay
Michel Armand
J.-M. Tarascon
Paul J. McMurdie
Susan Holmes
Evan Bolyen
Jai Ram Rideout
Matthew R. Dillon
Nicholas A. Bokulich
Christian C. Abnet
Gabriel A. Al‐Ghalith
Harriet Alexander
Manimozhiyan Arumugam
Francesco Asnicar
Yang Bai
Jordan E. Bisanz
Kyle Bittinger
Asker Brejnrod
Colin Brislawn
C. Titus Brown
Benjamin J. Callahan
Andrés Mauricio Caraballo‐Rodríguez
John Chase
Emily K. Cope
Ricardo Silva
Christian Diener
Pieter C. Dorrestein
Gavin M. Douglas
Daniel M. Durall
Claire Duvallet
Christian F. Edwardson
Madeleine Ernst
Mehrbod Estaki
Jennifer Fouquier
Julia M. Gauglitz
Sean M. Gibbons
Deanna L. Gibson
Antonio González
Kestrel Gorlick
Jiarong Guo
Benjamin Hillmann
Hannes Holste
Gavin Huttley
Stefan Janssen
Alan K. Jarmusch
Lingjing Jiang
Benjamin D. Kaehler
Kyo Bin Kang
Christopher R. Keefe
Paul Keim
Scott T. Kelley
Dan Knights
Irina Koester
Tomasz Kościółek
Jorden Kreps
Morgan G. I. Langille
Joslynn S. Lee
Ruth E. Ley
Yongxin Liu
Erikka Loftfield
Catherine Lozupone
Massoud Maher
Clarisse Marotz
Bryan D Martin
Daniel McDonald
Lauren J. McIver
Alexey V. Melnik
Jessica L. Metcalf
Sydney Morgan
Jamie Morton
Ahmad Turan Naimey
José A. Navas-Molina
Louis‐Félix Nothias
Stephanie B. Orchanian
Talima Pearson
Samuel L Peoples
Daniel Petras
Mary L. Preuss
Elmar Pruesse
Lasse Buur Rasmussen
Adam R. Rivers
Michael S. Robeson
Patrick Rosenthal
Nicola Segata
Michael Shaffer
Arron Shiffer
Rashmi Sinha
Se Jin Song
John R. Spear
Austin D. Swafford
Luke Thompson
Pedro J. Torres
Pauline Trinh
Anupriya Tripathi
Peter J. Turnbaugh
Sabah Ul-Hasan
Justin J. J. van der Hooft
Fernando Vargas
Yoshiki Vázquez‐Baeza
Emily Vogtmann
Max von Hippel
William A. Walters
Rotem Botvinik‐Nezer
Felix Holzmeister
Colin F. Camerer
Anna Dreber
Jürgen Huber
Magnus Johannesson
Michael Kirchler
Roni Iwanir
Jeanette A. Mumford
R. Alison Adcock
Paolo Avesani
Błażej M. Bączkowski
Aahana Bajracharya
Leah Bakst
Sheryl Ball
Marco Barilari
Nadège Bault
Derek Beaton
Julia Beitner
Roland G. Benoit
Ruud Berkers
Jamil P. Bhanji
Bharat B. Biswal
Sebastian Bobadilla-Suarez
Tiago Bortolini
Katherine L. Bottenhorn
Alexander Bowring
Senne Braem
Hayley R. Brooks
Emily G. Brudner
Cristian Buc Calderon
Julia A. Camilleri
Jaime J. Castrellon
Luca Cecchetti
Edna C. Cieslik
Zachary J. Cole
Olivier Collignon
Robert W. Cox
William A. Cunningham
Stefan Czoschke
Kamalaker Dadi
Charles P. Davis
Alberto De Luca
Mauricio R. Delgado
Lysia Demetriou
Jeffrey B. Dennison
Xin Di
Erin W. Dickie
Ekaterina Dobryakova
Claire Donnat
Juergen Dukart
Niall W. Duncan
Joke Durnez
Amr Eed
Simon B. Eickhoff
Andrew Erhart
Laura Fontanesi
G. Matthew Fricke
Shiguang Fu
Adriana Galván
Rémi Gau
Sarah Genon
Tristan Glatard
Enrico Glerean
Jelle J. Goeman
Sergej Golowin
Carlos González‐García
Krzysztof J. Gorgolewski
Cheryl L. Grady
Mikella A Green
João F. Guassi Moreira
Olivia Guest
Shabnam Hakimi
J. Paul Hamilton
Roeland Hancock
Giacomo Handjaras
Bronson Harry
Colin Hawco
Peer Herholz
Gabrielle Herman
Stephan Heunis
Felix Hoffstaedter
Jeremy Hogeveen
Hu Chuan-Peng
Scott A. Huettel
Matthew Hughes
Vittorio Iacovella
Alexandru D. Iordan
Peder Mortvedt Isager
Ayse Ilkay Isik
Andrew Jahn
Matthew R. Johnson
Tom Johnstone
Michael Joseph
Anthony Juliano
Joseph W. Kable
Michalis Kassinopoulos
Cemal Koba
Xiangzhen Kong
Khalid S. Khan
Jos Kleijnen
Gerd Antes
Mingxun Wang
Jeremy Carver
Vanessa V. Phelan
Laura M. Sanchez
Neha Garg
Yao Peng
Don D. Nguyen
Jeramie D. Watrous
Clifford A. Kapono
Tal Luzzatto‐Knaan
Carla Porto
Amina Bouslimani
Michael J. Meehan
Wei-Ting Liu
Max Crüsemann
Paul D. Boudreau
Eduardo Esquenazi
Mario Sandoval‐Calderón
Roland D. Kersten
Laura Pace
Robert A. Quinn
Katherine Duncan
Cheng‐Chih Hsu
Dimitrios J. Floros
Ronnie G. Gavilán
Karin Kleigrewe
Trent R. Northen
Rachel J. Dutton
Delphine Parrot
Erin E. Carlson
Bertrand Aigle
Charlotte Frydenlund Michelsen
Lars Jelsbak
Christian Sohlenkamp
Pavel A. Pevzner
Anna Edlund
Jeffrey S. McLean
Jörn Piel
Brian T. Murphy
Lena Gerwick
Chih‐Chuang Liaw
Yuliang Yang
Hans‐Ulrich Humpf
Maria Maansson
Robert A. Keyzers
Amy Sims
Andrew R. Johnson
Ashley M. Sidebottom
Brian E. Sedio
Andreas Klitgaard
Charles B. Larson
Cristopher A. Boya P.
Daniel Torres‐Mendoza
David J. Gonzalez
Denise Brentan Silva
Lucas Maciel Mauriz Marques
Daniel P. Demarque
Eglė Pociūtė
Ellis C. O’Neill
Enora Briand
Eric J. N. Helfrich
Eve A. Granatosky
Evgenia Glukhov
Florian Ryffel
Hailey Houson
Hosein Mohimani
Jenan J. Kharbush
Yi Zeng
Julia A. Vorholt
Kenji L. Kurita
Pep Charusanti
Kerry L. McPhail
Kristian Fog Nielsen
Lisa Vuong
Maryam Elfeki
Matthew F. Traxler
Niclas Engene
Nobuhiro Koyama
Oliver B. Vining
Ralph S. Baric
Samantha J. Mascuch
Sophie Tomasi
Stefan Jenkins
Venkat R. Macherla
Thomas Hoffman
Vinayak Agarwal
Philip G. Williams
Jingqui Dai
Ram Neupane
Joshua R. Gurr
Anne Lamsa
Chen Zhang
Kathleen Dorrestein
Brendan M. Duggan
Jehad Almaliti
Pierre‐Marie Allard
Prasad Phapale
Robin Schmid
Kai Dührkop
Johannes Rainer
Abinesh Sarvepalli
Ivan Protsyuk
Hiroshi Tsugawa
Markus Fleischauer
Fabian Aicheler
Alexander A. Aksenov
Oliver Alka
Aiko Barsch
Xavier Cachet
Tam Dang
Alexey Gurevich
Giorgis Isaac
Zdeněk Kameník
Nikolas Kessler
Ansgar Korf
Audrey Le Gouëllec
Marcus Ludwig
Christian Martin
Laura‐Isobel McCall
Jonathan McSayles
Sven Meyer
Mustafa Morsy
Oriane Moyne
Steffen Neumann
Heiko Neuweger
Ngoc Hung Nguyen
Mélissa Nothias-Esposito
Julien Paolini
Tomáš Pluskal
Simon Rogers
Bindesh Shrestha
Kelly C. Weldon
Michael Witting
Heejung Yang
Zheng Zhang
Florian Zubeil
Oliver Kohlbacher
Sebastian Böcker
Theodore Alexandrov
Nuno Bandeira
Himel Mallick
Ali Rahnavard
Siyuan Ma
Yancong Zhang
Long H. Nguyen
Timothy L. Tickle
George Weingart
Boyu Ren
Emma Schwager
Suvo Chatterjee
Kelsey N. Thompson
Jeremy E. Wilkinson
Ayshwarya Subramanian
Yiren Lu
Levi Waldron
Joseph N. Paulson
Eric A. Franzosa
Héctor Corrada Bravo
Justin Kuczynski
Emily S. Charlson
Jesse Zaneveld
Michael C. Mozer
Ronald G. Collman
Frederic D. Bushman
Rob Knight
J. Gregory Caporaso
Christian L. Lauber
Elizabeth K. Costello
Donna Berg-Lyons
Jesse Stombaugh
Pawel Gajer
Jacques Ravel
Noah Fierer
Jeffrey I. Gordon
Micah Hamady
Morgan N. Price
Julia K. Goodrich
Eric P. Nawrocki
Alexander J. Probst
Philip Hugenholtz
Luke K. Ursell
Laura Wegener Parfrey
Meg Pirrung
Uma Sekaran
Roger Bougie
Robert Y. Cavana
Brian L. Delahaye
Nees Jan van Eck
Ludo Waltman
Stanley Wasserman
Katherine Faust
Peter J. Carrington
James G. Scott
Lazega Emmanuel
Greg Guest
Arwen Bunce
Laura Johnson
Emily Namey
Mario Chen
Marilyn L. Mitchell
Mark N. K. Saunders
Philip Lewis
Adrian Thornhill
Steve Rozen
Helen Skaletsky
Michelle Girvan
M. E. J. Newman
Michelle G. Newman
Duncan J. Watts
Peter Sheridan Dodds
Luigi Atzori
Antonio Iera
Giacomo Morabito
Michele Nitti
Mark D. Wilkinson
Michel Dumontier
IJsbrand Jan Aalbersberg
Gabrielle Appleton
Myles Axton
Arie Baak
Niklas Blomberg
Jan‐Willem Boiten
Luiz Olavo Bonino da Silva Santos
Philip E. Bourne
Jildau Bouwman
Anthony J. Brookes
Tim W. Clark
Mercè Crosas
Ingrid Dillo
Olivier Dumon
Scott Edmunds
Chris T. Evelo
Richard Finkers
Alejandra González-Beltrán
Alasdair J. G. Gray
Paul Groth
Carole Goble
Jeffrey S. Grethe
Jaap Heringa
Peter A.C. ‘t Hoen
Rob Hooft
Tobias Kuhn
Ruben Kok
Joost N. Kok
Scott J. Lusher
Maryann E. Martone
Albert Mons
Abel L. Packer
Bengt Persson
Philippe Rocca‐Serra
Marco Roos
René van Schaik
Susanna‐Assunta Sansone
Erik Schultes
Thierry Sengstag
Ted Slater
George Strawn
Morris A. Swertz
Mark Thompson
Johan van der Lei
Erik M. van Mulligen
Jan Velterop
Andra Waagmeester
Peter Wittenburg
Katherine Wolstencroft
Jun Zhao
Barend Mons
Barry Smith
Michael Ashburner
Cornelius Rosse
Jonathan Bard
William Bug
Werner Ceusters
Louis J. Goldberg
Karen Eilbeck
Amelia Ireland
Chris Mungall
Neocles B. Leontis
Alan Ruttenberg
Richard H. Scheuermann
Nigam H. Shah
Patricia L. Whetzel
Suzanna Lewis
Dawn Field
George M Garrity
Tanya Gray
Norman Morrison
Jeremy Selengut
Peter Sterk
Tatiana Tatusova
Nicholas R. Thomson
Michael J. Allen
Samuel V. Angiuoli
Nelson Axelrod
Sandra L. Baldauf
S. Ballard
Jeffrey L. Boore
Guy Cochrane
James H. Cole
Peter Dawyndt
Paul de Vos
Claude W. dePamphilis
Robert A. Edwards
Nadeem Faruque
Robert A. Feldman
Jack A. Gilbert
Paul Gilna
Frank Oliver Glöckner
Philip Goldstein
Robert Guralnick
Dan H. Haft
David G. Hancock
Henning Hermjakob
Christiane Hertz‐Fowler
Ian Joint
Leonid Kagan
Matthew D. Kane
Jessie Kennedy
George A. Kowalchuk
Renzo Kottmann
Eugene Kolker
Saul Kravitz
Nikos C. Kyrpides
Jim Leebens‐Mack
Kelvin Li
Allyson Lister
Phillip Lord
Natalia Maltsev
Victor Markowitz
Jennifer B. H. Martiny
Ilene Karsch‐Mizrachi
Richard Moxon
Julian Parkhill
Lita M. Proctor
Owen White
Andrew J. Spiers
Robert Stevens
Paul Swift
Chris Taylor
Yoshio Tateno
Adrian Tett
Sarah L. Turner
David W. Ussery
Robert Vaughan
Naomi Ward
Trish Whetzel
Ingio San Gil
Gareth A. Wilson
Anil Wipat
Jianfang Liu
Tara M. Lichtenberg
Katherine A. Hoadley
Laila Poisson
Alexander J. Lazar
Andrew D. Cherniack
Albert J. Kovatich
Christopher C. Benz
Douglas A. Levine
Adrian V. Lee
Larsson Omberg
Denise M. Wolf
Craig D. Shriver
Vésteinn Thórsson
Hai Hu
Rory Johnson
John A. Demchok
Ina Felau
Melpomeni Kasapi
Martin L. Ferguson
Carolyn M. Hutter
Heidi J. Sofia
Roy Tarnuzzer
Linghua Wang
Liming Yang
Jean C. Zenklusen
Jiashan Zhang
Sudha Chudamani
Jia Liu
Laxmi Lolla
Rashi Naresh
Todd Pihl
Qiang Sun
Yunhu Wan
Ye Wu
Juok Cho
Timothy Defreitas
Scott Frazer
Nils Gehlenborg
David I. Heiman
Jaegil Kim
Michael S. Lawrence
Pei Lin
Thomas J. Giordano
Michael S. Noble
Gordon Saksena
Doug Voet
Hailei Zhang
Brady Bernard
Nyasha Chambwe
Varsha Dhankani
Theo Knijnenburg
Roger Kramer
Kalle Leinonen
Yuexin Liu
Michael B. Miller
Sheila M. Reynolds
Ilya Shmulevich
Wei Zhang
Rehan Akbani
Bradley M. Broom
Apurva M. Hegde
Zhenlin Ju
Rupa S. Kanchi
Anil Korkut
Jun Li
Han Liang
Shiyun Ling
Wenbin Liu
Yiling Lu
Gordon B. Mills
Kwok-Shing Ng
Arvind Rao
Michael Ryan
Jing Wang
John N. Weinstein
Jiexin Zhang
Adam Abeshouse
Joshua Armenia
Debyani Chakravarty
Walid K. Chatila
Ino de Bruijn
Galen F. Gao
Benjamin E. Gross
Zachary Heins
Ritika Kundra
Konnor La
Marc Ladanyi
Augustin Luna
Moriah G. Nissan
Angelica Ochoa
Sarah Phillips
Ed Reznik
Francisco Sanchez‐Vega
Chris Sander
Nikolaus Schultz
Robert E. Sheridan
S. Onur Sumer
John Vivian
Arjun A. Rao
Frank Austin Nothaft
Christopher Ketchum
Joel Armstrong
Adam M. Novak
Jacob Pfeil
Jake Narkizian
Alden Deran
Audrey Musselman-Brown
Hannes Schmidt
Peter Amstutz
Brian Craft
Mary J. Goldman
Kate R. Rosenbloom
Melissa Cline
Brian D. O’Connor
Megan Hanna
Chet Birger
W. James Kent
David A. Patterson
Anthony D. Joseph
Jingchun Zhu
Alexander Wait Zaranek
David Haussler
Benedict Paten
Da Wei Huang
Brad T. Sherman
Richard A. Lempicki
Glynn Dennis
Douglas A Hosack
Jun Yang
Wei Gao
H. Clifford Lane
Jianjiong Gao
Bülent Arman Aksoy
Uğur Doğrusöz
Gideon Dresdner
Benjamin Groß
Yichao Sun
Anders J. Skanderup
Rileen Sinha
Erik Larsson
Ethan Cerami
Fabrice André
Mónica Arnedos
Alexander S. Baras
José Baselga
Philippe L. Bédard
Michael F. Berger
Mariska Bierkens
Fabien Calvo
Kristen K. Dang
Nancy E. Davidson
Catherine Del Vecchio Fitz
Semih Doğan
Raymond N. DuBois
Matthew D. Ducar
P. Andrew Futreal
Francisco Moacir Pinheiro Garcia
Stuart M. Gardos
Christopher D. Gocke
Justin Guinney
Stephanie Hintzen
Hugo M. Horlings
Jan Hudeček
David M. Hyman
Suzanne Kamel‐Reid
Cyriac Kandoth
Walter Kinyua
Priti Kumari
Céline Lefèbvre
Michele L. Lenoue-Newton
Eva M. Lepisto
Mia Levy
Neal I. Lindeman
James Lindsay
David Liu
Zhibin Lu
Laura E. MacConaill
Ian Maurer
David S. Maxwell
Gerrit A. Meijer
Funda Meric‐Bernstam
Christine Micheel
Clinton Miller
Nathanael D. Moore
Petra M. Nederlof
John A. Orechia
Ben Ho Park
Trevor J. Pugh
Brendan Reardon
Barrett J. Rollins
Mark J. Routbort
Charles L. Sawyers
Deborah Schrag
Kenna Shaw
Priyanka Shivdasani
Lillian L. Siu
David B. Solit
Gabe S. Sonke
Jean Charles Soria
Parin Sripakdeevong
Natalie Stickle
Thomas Stricker
Shawn M. Sweeney
Barry S. Taylor
Jelle J. ten Hoeve
Stacy B. Thomas
Eliezer M. Van Allen
Laura van ’t Veer
Tony van de Velde
Harm van Tinteren
Victor E. Velculescu
Carl Virtanen
Emile E. Voest
Lucy Lu Wang
Chetna Wathoo
Stuart Watt
Celeste Yu
Thomas Yu
Emily Yu
Hongxin Zhang
Nello Cristianini
John Shawe‐Taylor
Ian Goodfellow
Dumitru Erhan
Pierre Carrier
Aaron Courville
Mehdi Mirza
Ben Hamner
Will Cukierski
Yichuan Tang
David S. Thaler
Dong‐Hyun Lee
Yingbo Zhou
Chetan Ramaiah
Fangxiang Feng
Ruifan Li
Xiaojie Wang
Dimitris Athanasakis
Maxim Milakov
John Park
Radu Tudor Ionescu
Marius Popescu
Cristian Grozea
James Bergstra
Jingjing Xie
Łukasz Romaszko
Bing Xu
Chuang Zhang
Yoshua Bengio
Antoine Daina
Olivier Michielin
Vincent Zoete
Stephen M. Smith
Mark Jenkinson
Mark W. Woolrich
Christian F. Beckmann
Timothy E.J. Behrens
Heidi Johansen‐Berg
Peter Bannister
Marilena De Luca
Ivana Drobnjak
David E. Flitney
Rami K. Niazy
James Saunders
John Vickers
Yongyue Zhang
Nicola De Stefano
J. Michael Brady
Paul M. Matthews
David C. Van Essen
Deanna M. Barch
Essa Yacoub
Kâmil Uğurbil
Matthew F. Glasser
Daniel S. Marcus
Jesper Andersson
Edward J. Auerbach
Timothy S. Coalson
Michael P. Harms
Steen Moeller
Emma C. Robinson
Stamatios N. Sotiropoulos
Junqian Xu
Russell A. Poldrack
Chris I. Baker
Marcus R. Munafò
Thomas E. Nichols
Jean‐Baptiste Poline
Edward Vul
Tal Yarkoni
Ary L. Goldberger
Luı́s A. Nunes Amaral
Leon Glass
Jeffrey M. Hausdorff
Plamen Ch. Ivanov
Roger G. Mark
Joseph E. Mietus
G.B. Moody
Chung‐Kang Peng
H. Eugene Stanley
Albert‐László Barabási
Maksim Kitsak
Lazaros K. Gallos
Shlomo Havlin
Fredrik Liljeros
Lev Muchnik
Hernán A. Makse
Michela Del Vicario
Alessandro Bessi
Fabiana Zollo
Fabio Petroni
Antonio Scala
Guido Caldarelli
Walter Quattrociocchi
Jianxi Gao
Sergey V. Buldyrev
F. N. David
John W. Tukey
David C. Hoaglin
Frederick Mosteller
Anil K. Jain
M. Narasimha Murty
Patrick J. Flynn
Ruud M. Bolle
Sharath Pankanti
Arun Ross
Michael J. S. Dewar
Eve G. Zoebisch
Eamonn F. Healy
James J. P. Stewart
Laurent Excoffier
Guillaume Laval
Stefan Schneider
Marco Túlio Ribeiro
Sameer Singh
Carlos Guestrin
Marco Ribeiro
Vincent D. Blondel
Jean‐Loup Guillaume
Renaud Lambiotte
