Work_ID,Title,Year,Cited_by,Authors,Author_IDs,Concepts
W2140190241,Data mining: concepts and techniques,2012,29789,Jiawei Han; Micheline Kamber; Jian Pei,A5019539533; A5033935560; A5062247330,Computer science; Data science; Data mining
W2035618305,clusterProfiler: an R Package for Comparing Biological Themes Among Gene Clusters,2012,28577,Guangchuang Yu; Li-Gen Wang; Yanyan Han; Qing‐Yu He,A5027320896; A5018109589; A5101869812; A5100646656,Bioconductor; R package; Workflow
W2037124948,Statistical Power Analysis for the Behavioral Sciences (2nd ed.).,1989,28540,Peter A. Lachenbruch; Jacob Cohen,A5031050247; A5102808166,Statistical power; Power analysis; Statistical analysis
W1573234480,Discovering Statistics Using SPSS,2000,28317,Andy P. Field; Jeremy N. V. Miles,A5067146589; A5078043800,Computer science; Process (computing); Field (mathematics)
W1570448133,Data Mining: Practical Machine Learning Tools and Techniques,2011,25400,Ian H. Witten; Eibe Frank; Mark A. Hall,A5045934263; A5059992863; A5065290010,Computer science; Machine learning; Data science
W1480376833,The Elements of Statistical Learning,2001,24615,Trevor Hastie; J. Friedman; Robert Tibshirani,A5045744709; A5108251783; A5027340494,Variety (cybernetics); Data science; Computer science
W2168909179,Initial sequencing and analysis of the human genome,2001,23981,Eric S. Lander; Lauren Linton; Bruce W. Birren; Chad Nusbaum; Michael C. Zody; Jennifer Baldwin; Keri Devon; Ken Dewar; Michael P. Doyle; William W. Fitzhugh; Roel Funke; Diane Gage; Katrina L. Harris; Andrew Heaford; John G. Howland; Lisa Kann; Jessica A. Lehoczky; R Paul Levine; Paul McEwan; Kevin McKernan; James C. Meldrim; Jill P. Mesirov; Cher Miranda; William Morris; Jerome W. Naylor; Christina Raymond; Mark Rosetti; Ralph Santos; Andrew Sheridan; Carrie Sougnez; Nicole Stange-Thomann; Nikola M. Stojanović; Aravind Subramanian; Dudley Wyman; Jane Rogers; John Sulston; R. Ainscough; Stephan Beck; David Bentley; John H. Burton; Christopher Clee; Nigel Carter; Alan Coulson; Rebecca Deadman; Panos Deloukas; Andrew Dunham; Ian Dunham; Richard Durbin; Lisa French; Darren Grafham; Simon G. Gregory; Tim Hubbard; Sean Humphray; Adrienne Hunt; Matthew C. Jones; Christine Lloyd; Amanda A. McMurray; Lucy Matthews; Simon Mercer; Sarah Milne; James C. Mullikin; Andrew J. Mungall; R. W. Plumb; Mark T. Ross; R. Shownkeen; Sarah Sims; R Waterston; Richard K. Wilson; LaDeana W. Hillier; John D. McPherson; Marco A. Marra; Elaine R. Mardis; Lucinda A. Fulton; Asif Chinwalla; Kymberlie Pepin; Warren Gish; Stephanie L. Chissoe; Michael C. Wendl; Kim D. Delehaunty; Tracie L. Miner; Andrew Delehaunty; Jason Kramer; Lisa L. Cook; Robert S. Fulton; D. Johnson; Patrick Minx; Sandra W. Clifton; Trevor Hawkins; Elbert Branscomb; Paul Predki; Paul Richardson; Sarah Wenning; Tom Slezak; Norman A. Doggett; Jan‐Fang Cheng; Anne S. Olsen; Susan Lucas; Christopher J. Elkin; Edward C. Uberbacher; M.E. Frazier,A5108140420; A5091229340; A5021669455; A5049581540; A5038698652; A5089295208; A5080184036; A5066338056; A5058847615; A5006631993; A5111904241; A5001383727; A5010992080; A5039655262; A5088982920; A5079561126; A5040260262; A5045625713; A5048963768; A5023416939; A5087297252; A5077622597; A5029081403; A5109400070; A5025514420; A5108778543; A5001820478; A5043077854; A5034317303; A5080618346; A5090716657; A5071769479; A5109532899; A5010677873; A5107841318; A5018043809; A5110225175; A5017588786; A5109214093; A5111898752; A5048041187; A5102094687; A5110225174; A5022965952; A5082712082; A5082633816; A5012080038; A5082040351; A5050511926; A5006835973; A5004078699; A5007549481; A5035692364; A5102019094; A5103897730; A5041308386; A5081044991; A5104349268; A5007133493; A5002456982; A5072393754; A5052194762; A5043582447; A5104275873; A5044012216; A5023083359; A5074206499; A5105786443; A5106316839; A5047690257; A5070061359; A5054642128; A5108080792; A5023572924; A5002017954; A5019579037; A5050119930; A5033154286; A5041520404; A5034614889; A5025839359; A5069466922; A5102746555; A5061026009; A5071858954; A5006986395; A5081176388; A5018212413; A5082519222; A5020071768; A5108082201; A5022255729; A5110462789; A5010297697; A5021042434; A5105408392; A5106716980; A5071062782; A5034994000; A5109158404,Human genome; Genome; Sequence (biology)
W1513618424,Modern Applied Statistics with S,2002,22849,W. N. Venables; B. D. Ripley,A5044319865; A5006582101,Computer science; Statistical analysis; Computational statistics
W1663973292,Pattern Recognition and Machine Learning,2007,22841,Christopher Bishop,A5107867713,Computer science; Imaging science; Cover (algebra)
W1913957972,<b>lavaan</b>: An<i>R</i>Package for Structural Equation Modeling,2012,21573,Yves Rosseel,A5009556605,Structural equation modeling; Computer science; Latent variable
W2109606373,Smoothing and Differentiation of Data by Simplified Least Squares Procedures.,1964,19699,Abraham. Savitzky; Marcel J. E. Golay,A5064251359; A5108411636,Citation; Icon; Social media
W2787894218,The Elements of Statistical Learning,2009,19653,Trevor Hastie; Robert Tibshirani; Jerome H. Friedman,A5045744709; A5027340494; A5020427483,Variety (cybernetics); Statistical learning; Management science
W1554944419,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",2013,18995,Trevor Hastie; Robert Tibshirani; Jerome H. Friedman,A5045744709; A5027340494; A5020427483,Artificial intelligence; Computer science; Machine learning
W2030841140,van der Waals Volumes and Radii,1964,18679,A. Bondì,A5111564046,Citation; Icon; Social media
W2944434778,The REDCap consortium: Building an international community of software platform partners,2019,18446,Paul A. Harris; Robert J. Taylor; Brenda L. Minor; Veida Elliott; Michelle Fernández; Lindsay O’Neal; Laura McLeod; Giovanni Delacqua; Francesco Delacqua; Jacqueline Kirby; Stephany N. Duda,A5016939870; A5091771382; A5088605588; A5019832012; A5086831577; A5058823353; A5088803813; A5014398074; A5023489769; A5086205928; A5088872453,Dissemination; Software; Computer science
W2006318126,Building better batteries,2008,18439,Michel Armand; J.-M. Tarascon,A5055227491; A5110244260,Subtext; George (robot); Computer science
W2148606196,The Structure and Function of Complex Networks,2003,18399,Michael Newman,A5003077083,Random graph; Complex network; Computer science
W1590154464,Qualitative research and case study applications in education,1998,18383,Sharan B. Merriam,A5015613005,Qualitative research; Qualitative property; Case study research
W2056279562,phyloseq: An R Package for Reproducible Interactive Analysis and Graphics of Microbiome Census Data,2013,18237,Paul J. McMurdie; Susan Holmes,A5050867199; A5003674456,UniFrac; Computer science; Data science
W2165010366,GRADE: an emerging consensus on rating quality of evidence and strength of recommendations,2008,18228,Gordon Guyatt; Andrew D Oxman; Gunn Elisabeth Vist; Regina Kunz; Yngve Falck–Ytter; Pablo Alonso‐Coello; Holger J. Schünemann,A5031717153; A5082652200; A5008584776; A5058128340; A5101485320; A5012215238; A5071868716,Quality of evidence; Quality (philosophy); Consensus conference
W2133990480,The WEKA data mining software,2009,17925,Mark Hall; Eibe Frank; Geoffrey Holmes; Bernhard Pfahringer; Peter Reutemann; Ian H. Witten,A5056507889; A5059992863; A5063502807; A5087785022; A5065535374; A5045934263,Computer science; Workbench; Data science
W2963276645,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2",2019,17265,Evan Bolyen; Jai Ram Rideout; Matthew R. Dillon; Nicholas A. Bokulich; Christian C. Abnet; Gabriel A. Al‐Ghalith; Harriet Alexander; Eric J. Alm; Manimozhiyan Arumugam; Francesco Asnicar; Yang Bai; Jordan E. Bisanz; Kyle Bittinger; Asker Brejnrod; Colin Brislawn; C. Titus Brown; Benjamin J. Callahan; Andrés Mauricio Caraballo‐Rodríguez; John Chase; Emily K. Cope; Ricardo Silva; Christian Diener; Pieter C. Dorrestein; Gavin M. Douglas; Daniel M. Durall; Claire Duvallet; Christian F. Edwardson; Madeleine Ernst; Mehrbod Estaki; Jennifer Fouquier; Julia M. Gauglitz; Sean M. Gibbons; Deanna L. Gibson; Antonio González; Kestrel Gorlick; Jiarong Guo; Benjamin Hillmann; Susan Holmes; Hannes Holste; Curtis Huttenhower; Gavin Huttley; Stefan Janssen; Alan K. Jarmusch; Lingjing Jiang; Benjamin D. Kaehler; Kyo Bin Kang; Christopher R. Keefe; Paul Keim; Scott T. Kelley; Dan Knights; Irina Koester; Tomasz Kościółek; Jorden Kreps; Morgan G. I. Langille; Joslynn S. Lee; Ruth E. Ley; Yongxin Liu; Erikka Loftfield; Catherine Lozupone; Massoud Maher; Clarisse Marotz; Bryan D Martin; Daniel McDonald; Lauren J. McIver; Alexey V. Melnik; Jessica L. Metcalf; Sydney Morgan; Jamie Morton; Ahmad Turan Naimey; José A. Navas-Molina; Louis‐Félix Nothias; Stephanie B. Orchanian; Talima Pearson; Samuel L Peoples; Daniel Petras; Mary L. Preuss; Elmar Pruesse; Lasse Buur Rasmussen; Adam R. Rivers; Michael S. Robeson; Patrick Rosenthal; Nicola Segata; Michael Shaffer; Arron Shiffer; Rashmi Sinha; Se Jin Song; John R. Spear; Austin D. Swafford; Luke Thompson; Pedro J. Torres; Pauline Trinh; Anupriya Tripathi; Peter J. Turnbaugh; Sabah Ul-Hasan; Justin J. J. van der Hooft; Fernando Vargas; Yoshiki Vázquez‐Baeza; Emily Vogtmann; Max von Hippel; William A. Walters,A5014309302; A5045260328; A5044141437; A5000165682; A5012823292; A5058766687; A5013626144; A5091119492; A5058914957; A5023870348; A5100630907; A5068812632; A5066967353; A5051319454; A5000856048; A5036229691; A5027561072; A5012057261; A5104274724; A5012356079; A5063348766; A5004117093; A5082720301; A5001579116; A5021434656; A5078594398; A5081796051; A5010086188; A5049341324; A5023589584; A5032648643; A5064118261; A5037837504; A5101532298; A5000991724; A5021380321; A5063135788; A5003674456; A5072721379; A5008844345; A5091335490; A5065650315; A5084397587; A5066665482; A5069233200; A5024849145; A5043637496; A5045601734; A5049973896; A5082358375; A5046633037; A5084827722; A5089511913; A5061354858; A5003368129; A5066589732; A5100765918; A5047818038; A5086938254; A5090166556; A5009540046; A5022081563; A5022461817; A5055202207; A5011189475; A5081142594; A5091486856; A5039009666; A5015750563; A5007031983; A5081815233; A5090259722; A5019273406; A5017863068; A5012059205; A5034532474; A5003436229; A5009625579; A5085522942; A5028011279; A5068955749; A5068576885; A5033941906; A5073261976; A5084125220; A5007034049; A5045792442; A5005856984; A5010836192; A5058418462; A5053110644; A5060283036; A5079232459; A5003179870; A5075156076; A5086305028; A5024143614; A5080956415; A5072785379; A5025148058,Microbiome; Scalability; Extensibility
W1820801730,Research methods for business: A skill building approach,1993,16325,Uma Sekaran; Roger Bougie,A5087797260; A5086822576,Glossary; Computer science; Management science
W2150220236,"Software survey: VOSviewer, a computer program for bibliometric mapping",2009,16162,Nees Jan van Eck; Ludo Waltman,A5079208483; A5027467000,Computer science; Construct (python library); Bibliometrics
W950821216,Social Network Analysis,1994,16143,Stanley Wasserman; Katherine Faust,A5110328496; A5013955991,Social network analysis; Social network (sociolinguistics); Organizational network analysis
W2129660502,How Many Interviews Are Enough?,2005,15901,Greg Guest; Arwen Bunce; Laura Johnson,A5018956008; A5044347523; A5011356886,Operationalization; Data collection; Nonprobability sampling
W1506150625,Case study research,2004,15772,Jean Hartley,A5084870947,Resource (disambiguation); Management science; Field (mathematics)
W1505999675,Research Methods for Business Students,1996,15699,Mark N. K. Saunders; Philip Lewis; Adrian Thornhill,A5054244780; A5109259127; A5066723018,Glossary; Negotiation; Index (typography)
W1499500424,Primer3 on the WWW for General Users and for Biologist Programmers,2003,15324,Steve Rozen; Helen Skaletsky,A5078961996; A5064094652,Biologist; Computer science; World Wide Web
W1971421925,Community structure in social and biological networks,2002,15210,Michelle Girvan; M. E. J. Newman,A5017906200; A5067142016,Community structure; Computer science; Centrality
W2105103777,The Internet of Things: A survey,2010,14858,Luigi Atzori; Antonio Iera; Giacomo Morabito,A5004550036; A5010762556; A5050880787,Computer science; The Internet; Vision
W2302501749,The FAIR Guiding Principles for scientific data management and stewardship,2016,14413,Mark D. Wilkinson; Michel Dumontier; IJsbrand Jan Aalbersberg; Gabrielle Appleton; Myles Axton; Arie Baak; Niklas Blomberg; Jan‐Willem Boiten; Luiz Olavo Bonino da Silva Santos; Philip E. Bourne; Jildau Bouwman; Anthony J. Brookes; Tim W. Clark; Mercè Crosas; Ingrid Dillo; Olivier Dumon; Scott Edmunds; Chris T. Evelo; Richard Finkers; Alejandra González-Beltrán; Alasdair J. G. Gray; Paul Groth; Carole Goble; Jeffrey S. Grethe; Jaap Heringa; Peter A.C. ‘t Hoen; Rob Hooft; Tobias Kuhn; Ruben Kok; Joost N. Kok; Scott J. Lusher; Maryann E. Martone; Albert Mons; Abel L. Packer; Bengt Persson; Philippe Rocca‐Serra; Marco Roos; René van Schaik; Susanna‐Assunta Sansone; Erik Schultes; Thierry Sengstag; Ted Slater; George Strawn; Morris A. Swertz; Mark Thompson; Johan van der Lei; Erik M. van Mulligen; Jan Velterop; Andra Waagmeester; Peter Wittenburg; Katherine Wolstencroft; Jun Zhao; Barend Mons,A5067974158; A5044836472; A5028351438; A5030388625; A5027743525; A5103172054; A5010916394; A5069885178; A5067310105; A5075833022; A5061463439; A5007022165; A5007020202; A5056421325; A5086032272; A5050655123; A5091565842; A5075750072; A5091360374; A5086246448; A5016133956; A5034924491; A5027899893; A5076014872; A5103164604; A5021033668; A5033074461; A5016394820; A5069864756; A5012010960; A5076459682; A5061037631; A5082106745; A5074742346; A5052620448; A5018395535; A5021179422; A5010012493; A5008806860; A5043231938; A5027225010; A5003303412; A5082263504; A5052368642; A5039828193; A5023215576; A5053857782; A5001384753; A5048705669; A5056816256; A5087859284; A5100744623; A5070745825,Stewardship (theology); Reuse; Reusability
W2021341670,Integrative genomics viewer,2011,14400,James Robinson; Helga Thorvaldsdóttir; Wendy Winckler; Mitchell Guttman; Eric S. Lander; Gad Getz; Jill P. Mesirov,A5014218807; A5033125816; A5078967801; A5052599603; A5020748592; A5001392592; A5077622597,Genomics; Computational biology; Profiling (computer programming)
W2133465414,Bioinformatics enrichment tools: paths toward the comprehensive functional analysis of large gene lists,2008,13992,Da Wei Huang; Brad T. Sherman; Richard A. Lempicki,A5023278037; A5070432400; A5085875110,Biology; Data science; Annotation
W2114843025,Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal,2013,13804,Jianjiong Gao; Bülent Arman Aksoy; Uğur Doğrusöz; Gideon Dresdner; Benjamin Groß; S. Onur Sumer; Yichao Sun; Anders J. Skanderup; Rileen Sinha; Erik Larsson; Ethan Cerami; Chris Sander; Nikolaus Schultz,A5014978419; A5020220136; A5006798669; A5090601001; A5026873890; A5020961360; A5027373743; A5049766408; A5039042860; A5050629872; A5071787046; A5008166270; A5033125884,Genomics; Visualization; Interface (matter)
W1563088657,An Introduction to Support Vector Machines and Other Kernel-based Learning Methods,2000,13800,Nello Cristianini; John Shawe‐Taylor,A5083307694; A5047980012,Computer science; GRASP; Support vector machine
W2095293504,Finding and evaluating community structure in networks,2004,13676,Michelle G. Newman; Michelle Girvan,A5015547139; A5017906200,Betweenness centrality; Community structure; Computer science
W2593436234,"SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules",2017,13619,Antoine Daina; Olivier Michielin; Vincent Zoete,A5088300158; A5009968141; A5049236772,Cheminformatics; ADME; Drug discovery
W2006096283,Advances in functional and structural MR image analysis and implementation as FSL,2004,13448,Stephen M. Smith; Mark Jenkinson; Mark W. Woolrich; Christian F. Beckmann; Timothy E.J. Behrens; Heidi Johansen‐Berg; Peter Bannister; Marilena De Luca; Ivana Drobnjak; David E. Flitney; Rami K. Niazy; James Saunders; John Vickers; Yongyue Zhang; Nicola De Stefano; J. Michael Brady; Paul M. Matthews,A5066553010; A5004220534; A5088377480; A5057492639; A5032723566; A5030823525; A5113735205; A5103431725; A5000738727; A5005635182; A5083768578; A5014548424; A5071021442; A5052461171; A5024199819; A5113483506; A5070529061,Neuroimaging; Scope (computer science); Computer science
W2162800060,"PhysioBank, PhysioToolkit, and PhysioNet",2000,13407,Ary L. Goldberger; Luı́s A. Nunes Amaral; Leon Glass; Jeffrey M. Hausdorff; Plamen Ch. Ivanov; Roger G. Mark; Joseph E. Mietus; G.B. Moody; Chung‐Kang Peng; H. Eugene Stanley,A5110570701; A5073544378; A5048160756; A5019442831; A5075293581; A5074887163; A5053730893; A5110932754; A5101750777; A5037975948,Software; Interdependence; Resource (disambiguation)
W2319794630,Exploratory Data Analysis,1977,13153,F. N. David; John W. Tukey,A5113108454; A5023706141,Exploratory data analysis; Computer science; Data science
W1992419399,Data clustering,1999,13093,Anil K. Jain; M. Narasimha Murty; Patrick J. Flynn,A5100613677; A5028996052; A5039987576,Cluster analysis; Computer science; Conceptual clustering
W2077973224,Development and use of quantum mechanical molecular models. 76. AM1: a new general purpose quantum mechanical molecular model,1985,13053,Michael J. S. Dewar; Eve G. Zoebisch; Eamonn F. Healy; James J. P. Stewart,A5109936519; A5062770502; A5054216191; A5060242817,Citation; Icon; Altmetrics
W2119799171,Arlequin (version 3.0): an integrated software package for population genetics data analysis.,2007,12972,Laurent Excoffier; Guillaume Laval; Stefan Schneider,A5024870825; A5016800212; A5042177913,Software; Population; Fixation index
W2282821441,"""Why Should I Trust You?""",2016,12524,Marco Túlio Ribeiro; Sameer Singh; Carlos Guestrin,A5019726734; A5005779128; A5090739892,Trustworthiness; Computer science; Action (physics)
W2131681506,Fast unfolding of communities in large networks,2008,12309,Vincent D. Blondel; Jean‐Loup Guillaume; Renaud Lambiotte; Etienne Lefebvre,A5073875709; A5046943453; A5034372799; A5043749084,Modularity (biology); Computer science; Heuristic
W2108921801,Overview of the<i>CCP</i>4 suite and current developments,2011,12189,Martyn Winn; Charles Ballard; Kevin Cowtan; E.J. Dodson; Paul Emsley; Phil Evans; Ronan M. Keegan; Eugene Krissinel; Andrew G. W. Leslie; Airlie J. McCoy; Stuart McNicholas; Garib N. Murshudov; Neesh Pannu; Elizabeth Potterton; Harold R. Powell; Randy J. Read; Alexei A. Vagin; Keith S. Wilson,A5052155666; A5112493028; A5018808577; A5074423495; A5071138931; A5080675148; A5020751117; A5024489586; A5020038613; A5103453342; A5028510775; A5058134267; A5042956432; A5024985099; A5034613492; A5068323278; A5113681751; A5041541957,Suite; Software suite; Computer science
W2582377764,Building theories from case study research,2009,12109,Kathleen M. Eisenhardt,A5045613469,Computer science; Construct (python library); Process (computing)
W2928665623,Metascape provides a biologist-oriented resource for the analysis of systems-level datasets,2019,12091,Yingyao Zhou; Bin Zhou; Lars Pache; Max W. Chang; Alireza Hadj Khodabakhshi; Olga Tanaseichuk; Christopher Benner; Sumit K. Chanda,A5108384814; A5058202820; A5036990605; A5045045734; A5069476576; A5013571436; A5060761396; A5077090198,Computer science; Interactome; Annotation
W2160697532,Bioconductor: open software development for computational biology and bioinformatics,2004,11995,Robert Gentleman; Vincent J. Carey; Douglas M. Bates; Ben Bolstad; Marcel Dettling; Sandrine Dudoit; Byron Ellis; Laurent Gautier; Yongchao Ge; Jeff Gentry; Kurt Hornik; Torsten Hothorn; Wolfgang Huber; Stefano M. Iacus; Rafael A. Irizarry; Friedrich Leisch; Cheng Li; Martin Maechler; Anthony Rossini; Günther Sawitzki; Colin A. Smith; Gordon K. Smyth; Luke Tierney; Jean Yang; Jianhua Zhang,A5039040940; A5081015175; A5018754372; A5050729723; A5109601720; A5018207168; A5110412350; A5084354048; A5035317366; A5036401869; A5078334892; A5062348958; A5029601108; A5034420722; A5054612687; A5089971147; A5100354240; A5109226182; A5086167632; A5044486965; A5087051940; A5054704071; A5108405297; A5028524705; A5100609374,Bioconductor; Software; Biology
W1660390307,Modern Information Retrieval,1999,11956,Ricardo Baeza‐Yates; Berthier Ribeiro‐Neto,A5076204770; A5108556969,Perspective (graphical); Subject (documents); Computer science
W2797597138,Practical Statistics for Medical Research.,1992,11952,Sophie Walter; Daniel Altman,A5113868172; A5073885302,Statistics; Medical statistics; Computer science
W2950504429,Reflecting on reflexive thematic analysis,2019,11896,Virginia Braun; Victoria Clarke,A5054729605; A5045921227,Reflexivity; Popularity; Variety (cybernetics)
W2592929672,A survey on deep learning in medical image analysis,2017,11889,Geert Litjens; Thijs Kooi; Babak Ehteshami Bejnordi; Arnaud A. A. Setio; Francesco Ciompi; Mohsen Ghafoorian; Jeroen van der Laak; Bram van Ginneken; Clara I. Sá‎nchez,A5055697525; A5057937692; A5055531734; A5083631804; A5002905948; A5083441393; A5081003438; A5042982766; A5081715147,Deep learning; Artificial intelligence; Computer science
W2091579301,The Sciences of the Artificial,1969,11821,Herbert A. Simon,A5108357701,Cognitive science; Action (physics); Complex adaptive system
W2725897987,Google Earth Engine: Planetary-scale geospatial analysis for everyone,2017,11637,Noel Gorelick; M. Hancher; Mike Dixon; Simon Ilyushchenko; David Thau; Rebecca Moore,A5083192483; A5113635787; A5012200510; A5054452183; A5110676372; A5073549084,Geospatial analysis; Cloud computing; Scale (ratio)
W2151936673,Modularity and community structure in networks,2006,11624,M. E. J. Newman,A5067142016,Modularity (biology); Computer science; Community structure
W2052393515,Sequential extraction procedure for the speciation of particulate trace metals,1979,11511,André Tessier; Peter G. C. Campbell; M. B�isson,A5077159360; A5020790363; A5090684761,Citation; TRACE (psycholinguistics); Computer science
W2118898434,Local Indicators of Spatial Association—LISA,1995,11437,Luc Anselin,A5054616540,Statistic; Outlier; Spatial analysis
W1999653836,Complex brain networks: graph theoretical analysis of structural and functional systems,2009,11317,Edward T. Bullmore; Olaf Sporns,A5041538919; A5002202464,Modularity (biology); Complex network; Magnetoencephalography
W3036319615,TBtools: An Integrative Toolkit Developed for Interactive Analyses of Big Biological Data,2020,11138,Chengjie Chen; Hao Chen; Yi Zhang; Hannah Rae Thomas; Margaret H. Frank; Yehua He; Rui Xia,A5032147441; A5100353637; A5100652543; A5040754192; A5059394081; A5101809817; A5022494657,Computer science; Software; Java
W1533179050,Statistical Methods for Research Workers,1945,11110,Ronald Aylmer Fisher,A5112523816,Statistical analysis; Prime (order theory); Object (grammar)
W2128438887,An index to quantify an individual's scientific research output,2005,11029,J. E. Hirsch,A5078594205,Index (typography); Computer science; Statistics
W1660562555,Handbook of applied cryptography,1997,10902,Alfred Menezes; Scott A. Vanstone; Paul C. van Oorschot,A5019674369; A5108398775; A5011846293,Scope (computer science); Computer science; Cryptography
W3008443627,An interactive web-based dashboard to track COVID-19 in real time,2020,10862,Ensheng Dong; Hongru Du; Lauren Gardner,A5066854264; A5072771687; A5034284815,Dashboard; Coronavirus disease 2019 (COVID-19); Outbreak
W2028302194,Creating the CIPRES Science Gateway for inference of large phylogenetic trees,2010,10814,Mark A. Miller; Wayne Pfeiffer; Terri Schwartz,A5035660803; A5020903210; A5041940220,Scalability; Computer science; Laptop
W1721421031,The DeLone and McLean Model of Information Systems Success: A Ten-Year Update,2003,10732,William DeLone; Ephraim R. McLean,A5029249959; A5101196513,Computer science; Information system; Success factors
W1679913846,Self-Organizing Maps,1995,10640,Teuvo Kohonen,A5008174011,Artificial intelligence; Field (mathematics); Computer science
W2755950973,bibliometrix : An R-tool for comprehensive science mapping analysis,2017,10636,Massimo Aria; Corrado Cuccurullo,A5069892096; A5049136342,Workflow; Bibliometrics; Computer science
W2070722739,Complex networks: Structure and dynamics,2006,10603,Stefano Boccaletti; Vito Latora; Yamir Moreno; Mario Chávez; Dong‐Uk Hwang,A5083819212; A5027706684; A5084793824; A5038624724; A5055506356,Complex network; Dynamical systems theory; Complex system
W2156267802,Missing data: Our view of the state of the art.,2002,10576,Joseph L. Schafer; J. A. Graham,A5113922712; A5029827738,Missing data; Imputation (statistics); Computer science
