Id,Label,Degree
A5014398074,Giovanni Delacqua,10
A5023489769,Francesco Delacqua,10
A5086205928,Jacqueline Kirby,10
A5088872453,Stephany N. Duda,10
A5055227491,Michel Armand,1
A5110244260,J.-M. Tarascon,1
A5003077083,Michael Newman,0
A5015613005,Sharan B. Merriam,0
A5050867199,Paul J. McMurdie,1
A5003674456,Susan Holmes,199
A5031717153,Gordon Guyatt,8
A5008584776,Gunn Elisabeth Vist,6
A5058128340,Regina Kunz,9
A5101485320,Yngve Falck–Ytter,6
A5012215238,Pablo Alonso‐Coello,6
A5071868716,Holger J. Schünemann,8
A5056507889,Mark Hall,5
A5063502807,Geoffrey Holmes,5
A5087785022,Bernhard Pfahringer,5
A5065535374,Peter Reutemann,5
A5014309302,Evan Bolyen,99
A5045260328,Jai Ram Rideout,99
A5044141437,Matthew R. Dillon,99
A5000165682,Nicholas A. Bokulich,99
A5012823292,Christian C. Abnet,99
A5058766687,Gabriel A. Al‐Ghalith,99
A5013626144,Harriet Alexander,99
A5091119492,Eric J. Alm,197
A5058914957,Manimozhiyan Arumugam,99
A5023870348,Francesco Asnicar,99
A5100630907,Yang Bai,99
A5068812632,Jordan E. Bisanz,99
A5066967353,Kyle Bittinger,99
A5051319454,Asker Brejnrod,99
A5000856048,Colin Brislawn,99
A5036229691,C. Titus Brown,99
A5027561072,Benjamin J. Callahan,99
A5012057261,Andrés Mauricio Caraballo‐Rodríguez,239
A5104274724,John Chase,99
A5012356079,Emily K. Cope,99
A5063348766,Ricardo Silva,239
A5004117093,Christian Diener,99
A5082720301,Pieter C. Dorrestein,148
A5001579116,Gavin M. Douglas,99
A5021434656,Daniel M. Durall,99
A5078594398,Claire Duvallet,99
A5081796051,Christian F. Edwardson,99
A5010086188,Madeleine Ernst,148
A5049341324,Mehrbod Estaki,99
A5023589584,Jennifer Fouquier,99
A5032648643,Julia M. Gauglitz,148
A5064118261,Sean M. Gibbons,99
A5037837504,Deanna L. Gibson,99
A5101532298,Antonio González,99
A5000991724,Kestrel Gorlick,99
A5021380321,Jiarong Guo,99
A5063135788,Benjamin Hillmann,99
A5072721379,Hannes Holste,99
A5008844345,Curtis Huttenhower,215
A5091335490,Gavin Huttley,99
A5065650315,Stefan Janssen,99
A5084397587,Alan K. Jarmusch,148
A5066665482,Lingjing Jiang,99
A5069233200,Benjamin D. Kaehler,99
A5024849145,Kyo Bin Kang,148
A5043637496,Christopher R. Keefe,99
A5045601734,Paul Keim,99
A5049973896,Scott T. Kelley,106
A5082358375,Dan Knights,116
A5046633037,Irina Koester,148
A5084827722,Tomasz Kościółek,99
A5089511913,Jorden Kreps,99
A5061354858,Morgan G. I. Langille,99
A5003368129,Joslynn S. Lee,99
A5066589732,Ruth E. Ley,99
A5100765918,Yongxin Liu,99
A5047818038,Erikka Loftfield,99
A5086938254,Catherine Lozupone,101
A5090166556,Massoud Maher,99
A5009540046,Clarisse Marotz,99
A5022081563,Bryan D Martin,99
A5022461817,Daniel McDonald,107
A5055202207,Lauren J. McIver,117
A5011189475,Alexey V. Melnik,196
A5081142594,Jessica L. Metcalf,102
A5091486856,Sydney Morgan,99
A5039009666,Jamie Morton,99
A5015750563,Ahmad Turan Naimey,99
A5007031983,José A. Navas-Molina,99
A5081815233,Louis‐Félix Nothias,148
A5090259722,Stephanie B. Orchanian,99
A5019273406,Talima Pearson,99
A5017863068,Samuel L Peoples,99
A5012059205,Daniel Petras,148
A5034532474,Mary L. Preuss,99
A5003436229,Elmar Pruesse,99
A5009625579,Lasse Buur Rasmussen,99
A5085522942,Adam R. Rivers,99
A5028011279,Michael S. Robeson,99
A5068955749,Patrick Rosenthal,99
A5068576885,Nicola Segata,99
A5033941906,Michael Shaffer,99
A5073261976,Arron Shiffer,99
A5084125220,Rashmi Sinha,99
A5007034049,Se Jin Song,99
A5045792442,John R. Spear,99
A5005856984,Austin D. Swafford,99
A5010836192,Luke Thompson,99
A5058418462,Pedro J. Torres,99
A5053110644,Pauline Trinh,99
A5060283036,Anupriya Tripathi,148
A5079232459,Peter J. Turnbaugh,99
A5003179870,Sabah Ul-Hasan,99
A5075156076,Justin J. J. van der Hooft,148
A5086305028,Fernando Vargas,148
A5024143614,Yoshiki Vázquez‐Baeza,102
A5080956415,Emily Vogtmann,99
A5072785379,Max von Hippel,99
A5025148058,William A. Walters,99
A5087797260,Uma Sekaran,3
A5086822576,Roger Bougie,1
A5079208483,Nees Jan van Eck,1
A5027467000,Ludo Waltman,1
A5110328496,Stanley Wasserman,4
A5013955991,Katherine Faust,2
A5018956008,Greg Guest,5
A5044347523,Arwen Bunce,2
A5011356886,Laura Johnson,2
A5084870947,Jean Hartley,0
A5054244780,Mark N. K. Saunders,2
A5109259127,Philip Lewis,2
A5066723018,Adrian Thornhill,2
A5078961996,Steve Rozen,1
A5064094652,Helen Skaletsky,1
A5017906200,Michelle Girvan,2
A5067142016,M. E. J. Newman,3
A5004550036,Luigi Atzori,3
A5010762556,Antonio Iera,3
A5050880787,Giacomo Morabito,3
A5067974158,Mark D. Wilkinson,52
A5044836472,Michel Dumontier,52
A5028351438,IJsbrand Jan Aalbersberg,52
A5030388625,Gabrielle Appleton,52
A5027743525,Myles Axton,52
A5103172054,Arie Baak,52
A5010916394,Niklas Blomberg,52
A5069885178,Jan‐Willem Boiten,52
A5067310105,Luiz Olavo Bonino da Silva Santos,52
A5075833022,Philip E. Bourne,52
A5061463439,Jildau Bouwman,52
A5007022165,Anthony J. Brookes,52
A5007020202,Tim W. Clark,52
A5056421325,Mercè Crosas,52
A5086032272,Ingrid Dillo,52
A5050655123,Olivier Dumon,52
A5091565842,Scott Edmunds,52
A5075750072,Chris T. Evelo,52
A5091360374,Richard Finkers,52
A5086246448,Alejandra González-Beltrán,52
A5016133956,Alasdair J. G. Gray,52
A5034924491,Paul Groth,52
A5027899893,Carole Goble,52
A5076014872,Jeffrey S. Grethe,52
A5103164604,Jaap Heringa,52
A5021033668,Peter A.C. ‘t Hoen,52
A5033074461,Rob Hooft,52
A5016394820,Tobias Kuhn,52
A5069864756,Ruben Kok,52
A5012010960,Joost N. Kok,52
A5076459682,Scott J. Lusher,52
A5061037631,Maryann E. Martone,52
A5082106745,Albert Mons,52
A5074742346,Abel L. Packer,52
A5052620448,Bengt Persson,52
A5018395535,Philippe Rocca‐Serra,68
A5021179422,Marco Roos,52
A5010012493,René van Schaik,52
A5008806860,Susanna‐Assunta Sansone,137
A5043231938,Erik Schultes,52
A5027225010,Thierry Sengstag,52
A5003303412,Ted Slater,52
A5082263504,George Strawn,52
A5052368642,Morris A. Swertz,52
A5039828193,Mark Thompson,52
A5023215576,Johan van der Lei,52
A5053857782,Erik M. van Mulligen,52
A5001384753,Jan Velterop,52
A5048705669,Andra Waagmeester,52
A5056816256,Peter Wittenburg,52
A5087859284,Katherine Wolstencroft,52
A5100744623,Jun Zhao,52
A5070745825,Barend Mons,52
A5014218807,James Robinson,8
A5033125816,Helga Thorvaldsdóttir,8
A5078967801,Wendy Winckler,6
A5052599603,Mitchell Guttman,6
A5020748592,Eric S. Lander,6
A5001392592,Gad Getz,130
A5023278037,Da Wei Huang,2
A5070432400,Brad T. Sherman,7
A5085875110,Richard A. Lempicki,7
A5014978419,Jianjiong Gao,98
A5020220136,Bülent Arman Aksoy,12
A5006798669,Uğur Doğrusöz,12
A5090601001,Gideon Dresdner,12
A5026873890,Benjamin Groß,98
A5020961360,S. Onur Sumer,12
A5027373743,Yichao Sun,12
A5049766408,Anders J. Skanderup,12
A5039042860,Rileen Sinha,12
A5050629872,Erik Larsson,12
A5071787046,Ethan Cerami,98
A5008166270,Chris Sander,109
A5033125884,Nikolaus Schultz,189
A5083307694,Nello Cristianini,1
A5047980012,John Shawe‐Taylor,28
A5015547139,Michelle G. Newman,1
A5088300158,Antoine Daina,2
A5009968141,Olivier Michielin,2
A5049236772,Vincent Zoete,2
A5066553010,Stephen M. Smith,30
A5004220534,Mark Jenkinson,29
A5088377480,Mark W. Woolrich,16
A5057492639,Christian F. Beckmann,16
A5032723566,Timothy E.J. Behrens,30
A5030823525,Heidi Johansen‐Berg,16
A5113735205,Peter Bannister,16
A5103431725,Marilena De Luca,16
A5000738727,Ivana Drobnjak,16
A5005635182,David E. Flitney,16
A5083768578,Rami K. Niazy,16
A5014548424,James Saunders,16
A5071021442,John Vickers,16
A5052461171,Yongyue Zhang,16
A5024199819,Nicola De Stefano,16
A5113483506,J. Michael Brady,16
A5070529061,Paul M. Matthews,25
A5110570701,Ary L. Goldberger,9
A5073544378,Luı́s A. Nunes Amaral,9
A5048160756,Leon Glass,9
A5019442831,Jeffrey M. Hausdorff,9
A5075293581,Plamen Ch. Ivanov,9
A5074887163,Roger G. Mark,9
A5053730893,Joseph E. Mietus,9
A5110932754,G.B. Moody,9
A5101750777,Chung‐Kang Peng,9
A5037975948,H. Eugene Stanley,25
A5113108454,F. N. David,1
A5023706141,John W. Tukey,3
A5100613677,Anil K. Jain,5
A5028996052,M. Narasimha Murty,2
A5039987576,Patrick J. Flynn,2
A5109936519,Michael J. S. Dewar,3
A5062770502,Eve G. Zoebisch,3
A5054216191,Eamonn F. Healy,3
A5060242817,James J. P. Stewart,3
A5024870825,Laurent Excoffier,2
A5016800212,Guillaume Laval,2
A5042177913,Stefan Schneider,2
A5019726734,Marco Túlio Ribeiro,2
A5005779128,Sameer Singh,3
A5090739892,Carlos Guestrin,3
A5073875709,Vincent D. Blondel,3
A5046943453,Jean‐Loup Guillaume,3
A5034372799,Renaud Lambiotte,3
A5043749084,Etienne Lefebvre,3
A5052155666,Martyn Winn,17
A5112493028,Charles Ballard,17
A5018808577,Kevin Cowtan,17
A5074423495,E.J. Dodson,17
A5071138931,Paul Emsley,17
A5080675148,Phil Evans,17
A5020751117,Ronan M. Keegan,17
A5024489586,Eugene Krissinel,17
A5020038613,Andrew G. W. Leslie,17
A5103453342,Airlie J. McCoy,25
A5028510775,Stuart McNicholas,17
A5058134267,Garib N. Murshudov,17
A5042956432,Neesh Pannu,17
A5024985099,Elizabeth Potterton,17
A5034613492,Harold R. Powell,17
A5068323278,Randy J. Read,25
A5113681751,Alexei A. Vagin,17
A5041541957,Keith S. Wilson,17
A5045613469,Kathleen M. Eisenhardt,0
A5108384814,Yingyao Zhou,7
A5058202820,Bin Zhou,7
A5036990605,Lars Pache,7
A5045045734,Max W. Chang,7
A5069476576,Alireza Hadj Khodabakhshi,7
A5013571436,Olga Tanaseichuk,7
A5060761396,Christopher Benner,7
A5077090198,Sumit K. Chanda,7
A5039040940,Robert Gentleman,46
A5081015175,Vincent J. Carey,45
A5018754372,Douglas M. Bates,24
A5050729723,Ben Bolstad,24
A5109601720,Marcel Dettling,24
A5018207168,Sandrine Dudoit,24
A5110412350,Byron Ellis,24
A5084354048,Laurent Gautier,24
A5035317366,Yongchao Ge,24
A5036401869,Jeff Gentry,24
A5078334892,Kurt Hornik,26
A5062348958,Torsten Hothorn,24
A5029601108,Wolfgang Huber,56
A5034420722,Stefano M. Iacus,24
A5054612687,Rafael A. Irizarry,45
A5089971147,Friedrich Leisch,24
A5100354240,Cheng Li,29
A5109226182,Martin Maechler,24
A5086167632,Anthony Rossini,24
A5044486965,Günther Sawitzki,24
A5087051940,Colin A. Smith,24
A5054704071,Gordon K. Smyth,45
A5108405297,Luke Tierney,24
A5028524705,Jean Yang,24
A5100609374,Jianhua Zhang,24
A5076204770,Ricardo Baeza‐Yates,1
A5108556969,Berthier Ribeiro‐Neto,1
A5113868172,Sophie Walter,1
A5073885302,Daniel Altman,1
A5054729605,Virginia Braun,6
A5045921227,Victoria Clarke,6
A5055697525,Geert Litjens,8
A5057937692,Thijs Kooi,8
A5055531734,Babak Ehteshami Bejnordi,8
A5083631804,Arnaud A. A. Setio,8
A5002905948,Francesco Ciompi,8
A5083441393,Mohsen Ghafoorian,8
A5081003438,Jeroen van der Laak,8
A5042982766,Bram van Ginneken,8
A5081715147,Clara I. Sá‎nchez,8
A5108357701,Herbert A. Simon,4
A5083192483,Noel Gorelick,5
A5113635787,M. Hancher,5
A5012200510,Mike Dixon,5
A5054452183,Simon Ilyushchenko,5
A5110676372,David Thau,5
A5073549084,Rebecca Moore,5
A5077159360,André Tessier,2
A5020790363,Peter G. C. Campbell,2
A5090684761,M. B�isson,2
A5054616540,Luc Anselin,2
A5041538919,Edward T. Bullmore,25
A5002202464,Olaf Sporns,4
A5032147441,Chengjie Chen,13
A5100353637,Hao Chen,13
A5100652543,Yi Zhang,6
A5040754192,Hannah Rae Thomas,6
A5059394081,Margaret H. Frank,6
A5101809817,Yehua He,13
A5022494657,Rui Xia,13
A5112523816,Ronald Aylmer Fisher,0
A5078594205,J. E. Hirsch,0
A5019674369,Alfred Menezes,2
A5108398775,Scott A. Vanstone,2
A5011846293,Paul C. van Oorschot,2
A5066854264,Ensheng Dong,2
A5072771687,Hongru Du,2
A5034284815,Lauren Gardner,2
A5035660803,Mark A. Miller,2
A5020903210,Wayne Pfeiffer,2
A5041940220,Terri Schwartz,2
A5029249959,William DeLone,1
A5101196513,Ephraim R. McLean,1
A5008174011,Teuvo Kohonen,0
A5069892096,Massimo Aria,1
A5049136342,Corrado Cuccurullo,1
A5083819212,Stefano Boccaletti,12
A5027706684,Vito Latora,4
A5084793824,Yamir Moreno,8
A5038624724,Mario Chávez,4
A5055506356,Dong‐Uk Hwang,4
A5113922712,Joseph L. Schafer,1
A5029827738,J. A. Graham,1
A5003640520,Anubhav Jain,10
A5002723657,Shyue Ping Ong,10
A5027208775,Geoffroy Hautier,10
A5100344385,Wei Chen,10
A5109880306,William D. Richards,10
A5070799902,Stephen Dacek,10
A5060911052,Shreyas Cholia,10
A5027568646,Dan Gunter,10
A5012176604,David Skinner,10
A5014983956,Gerbrand Ceder,10
A5037535334,Kristin A. Persson,10
A5038201103,Petr Danecek,10
A5023437941,James Bonfield,10
A5057837590,Jennifer Liddle,10
A5076754703,John Marshall,10
A5042724002,Valeriu Ohan,10
A5030711232,Martin Pollard,10
A5053851717,Andrew Whitwham,10
A5057637553,Thomas Keane,10
A5030669774,Shane McCarthy,10
A5027246128,Robert M. Davies,10
A5100338825,Heng Li,10
A5105462855,Gerry P. Quinn,1
A5038818929,Michael J. Keough,1
A5021973169,William H. Press,6
A5064306655,Brian P. Flannery,6
A5078691132,Saul A. Teukolsky,6
A5006598303,William T. Vetterling,6
A5031998394,Harvey Gould,4
A5089745946,J. David Singer,1
A5005515303,John B. Willett,1
A5048885091,Daniel T. Gillespie,0
A5025961197,Murray Aitkin,2
A5082687539,John D. Kalbfleisch,2
A5063755496,Ross L. Prentice,2
A5108208924,Judea Pearl,2
A5089267023,Ross Ihaka,1
A5003851078,Varun Chandola,2
A5014459472,Arindam Banerjee,2
A5100645812,Vipin Kumar,2
A5056123613,Gediminas Adomavičius,4
A5016384155,Alexander Tuzhilin,1
A5039640161,Michael D. Buhrmester,2
A5056421744,Tracy Kwang,2
A5077287995,Samuel D. Gosling,2
A5019490993,Tianzhi Wu,13
A5027301155,Erqiang Hu,13
A5000421632,Shuangbin Xu,13
A5101815066,Meijun Chen,13
A5066459211,Pingfan Guo,13
A5112627872,Zehan Dai,13
A5015160001,Tingze Feng,13
A5014705738,Lang Zhou,13
A5019245678,Wenli Tang,13
A5036113185,Li Zhan,13
A5027893979,Xiaocong Fu,13
A5100417148,Shanshan Liu,13
A5102983020,Xiaochen Bo,13
A5051577117,Connor Shorten,2
A5089170562,Taghi M. Khoshgoftaar,12
A5068974770,David R. Thomas,0
A5076200949,Lorelli Nowell,3
A5089129677,Jill M. Norris,3
A5101869525,Deborah White,3
A5064701211,Nancy J. Moules,3
A5058926453,Jennifer Fereday,1
A5012216354,Eimear Muir‐Cochrane,1
A5036721569,Noel M. O’Boyle,5
A5037128636,Michael Banck,5
A5069577668,Craig A. James,5
A5056868560,Chris Morley,5
A5062786836,Tim Vandermeersch,5
A5069354331,Geoffrey Hutchison,5
A5064363027,Tanya Barrett,24
A5061635493,Stephen E. Wilhite,16
A5042855425,Pierre Ledoux,23
A5113728741,Carlos Evangelista,16
A5009841358,Irene F. Kim,46
A5040359125,Maxim Tomashevsky,23
A5011077393,Kimberly A. Marshall,23
A5001119271,Katherine Phillippy,23
A5064128452,Patti M. Sherman,16
A5026954579,Michelle Holko,23
A5051103324,Andrey Yefanov,23
A5062524423,Hyeseung Lee,16
A5020737342,Naigong Zhang,16
A5010046585,C. Robertson,16
A5069761663,Nadezhda Serova,16
A5005450827,Sean Davis,42
A5001738515,Alexandra Soboleva,16
A5112505174,Don A. Dillman,0
A5040428174,Barry J. Everitt,4
A5033962321,Sabine Landau,2
A5110273270,Morven Leese,2
A5012329290,Glenn A. Bowen,0
A5109116797,Peter Rice,2
A5105370311,Ian Longden,2
A5055959749,Alan J. Bleasby,2
A5054445163,Ronald Azuma,5
A5066267731,Anna B. Costello,1
A5072787877,Jason W. Osborne,1
A5067080427,Wes McKinney,0
A5050952793,Liam J. Revell,0
A5051537916,George M. Whitesides,0
A5018594254,Gary C. Moore,1
A5006565311,Izak Benbasat,1
A5112624486,Robert K. Yin,0
A5110011934,Charles E. Osgood,2
A5003393588,George J. Suci,2
A5034475640,Percy H. Tannenbaum,2
A5096906217,Hevner,3
A5110280911,March March,3
A5100380842,Jinsoo Park,6
A5080614459,Ram Ram,3
A5032805182,Jane Elith,26
A5054824197,Catherine H. Graham,27
A5088966095,Robert P. Anderson,26
A5089372170,Miroslav Dudı́k,26
A5041115618,Simon Ferrier,27
A5041324397,Antoine Guisan,27
A5044124578,Robert J. Hijmans,26
A5070097821,Falk Huettmann,26
A5109974010,John R. Leathwick,26
A5065402497,Anthony Lehmann,26
A5100364771,Jin Li,26
A5016703383,Lúcia G. Lohmann,26
A5088574216,Bette A. Loiselle,26
A5045909355,Glenn Manion,26
A5073128973,Craig Moritz,27
A5011486492,Miguel Nakamura,26
A5107118650,Yoshinori Nakazawa,26
A5041051767,Jacob McC. Overton,26
A5026094744,A. Townsend Peterson,27
A5110062251,Steven J. Phillips,26
A5111909683,Karen Richardson,26
A5060795255,Ricardo Scachetti‐Pereira,26
A5084108666,Robert E. Schapire,26
A5077997924,Jorge Soberón,26
A5061533489,Stephen E. Williams,26
A5020703904,Mary S. Wisz,26
A5031627703,Niklaus E. Zimmermann,27
A5029092133,Robin Whittemore,1
A5058232077,Kathleen A. Knafl,1
A5004368837,Maria J. Grant,1
A5010647345,Andrew Booth,3
A5015986488,Nicola Gale,4
A5055782266,Gemma Heath,4
A5048264954,Elaine Cameron,4
A5084197695,Sabina Faiz Rashid,4
A5073019857,Sabi Redwood,4
A5110874701,R. J. Moffat,0
A5053938061,Santo Fortunato,3
A5020392082,Lawrence A. Palinkas,5
A5091695011,Sarah McCue Horwitz,5
A5024094446,Carla A. Green,5
A5018362457,Jennifer P. Wisdom,5
A5041535475,Naihua Duan,5
A5083448889,Kimberly Hoagwood,5
A5042256913,Bridget C. O’Brien,4
A5044027241,Ilene Harris,4
A5089071297,Thomas J. Beckman,4
A5070778639,Darcy A. Reed,4
A5102930007,David A. Cook,4
A5103175565,Zefang Tang,5
A5101530362,Chenwei Li,5
A5052795807,Boxi Kang,5
A5048549975,Ge Gao,5
A5060146570,Zemin Zhang,5
A5112861803,Haibo He,1
A5103531837,Edwardo A. Garcia,1
A5028263417,Uwe Flick,0
A5074473734,Naveen Donthu,4
A5100777365,Satish Kumar,4
A5044093515,Debmalya Mukherjee,4
A5055386132,Nitesh Pandey,4
A5045594204,Weng Marc Lim,4
A5089568993,Teri A. Manolio,26
A5068242165,Francis S. Collins,30
A5036388273,Nancy J. Cox,26
A5024558351,David B. Goldstein,30
A5012900535,Lucia A. Hindorff,71
A5080921373,David J. Hunter,26
A5064948585,Mark I. McCarthy,35
A5014083810,Erin M. Ramos,26
A5107845692,Lon R. Cardon,30
A5073552534,Aravinda Chakravarti,26
A5012477767,Judy H. Cho,26
A5111622584,Alan E. Guttmacher,28
A5072041322,Augustine Kong,26
A5023392469,Leonid Kruglyak,26
A5083621501,Charles N. Rotimi,26
A5067327311,Montgomery Slatkin,26
A5035657425,David Valle,26
A5037849512,Alice S. Whittemore,26
A5003810507,Michael Boehnke,26
A5042388690,Andrew G. Clark,26
A5014870107,Evan E. Eichler,26
A5029677222,Greg Gibson,26
A5020266650,Jonathan L. Haines,26
A5028037557,Trudy F. C. Mackay,26
A5072347906,Steven A. McCarroll,26
A5020502354,Peter M. Visscher,31
A5029418921,Steven H. Strogatz,0
A5008365226,Catherine Pope,2
A5111971842,A. Colin Cameron,1
A5050322239,Pravin K. Trivedi,1
A5049812527,Michael I. Jordan,1
A5102921433,Tom M. Mitchell,1
A5052626400,Warren J. Hehre,0
A5016175339,Hadley Wickham,1
