video_id,title,description,published_at,channel,category_id,tags,view_count,like_count,comment_count
KeX2rCMOnyM,@Hướng dẫn#intro &đệm hát( Con Đường xưa em đi),"#guitar đệm hát #introguitar Chào mừng các bạn yêu Âm nhạc đã đến với kênh Trần Tùng Guitar. Trần Tùng luôn sẵn sàng chia sẻ những kiến thức, kinh nghiệm chơi đàn guitar. Mong rằng những video chia sẻ của Trần Tùng sẽ giúp cho mọi người chơi guitar dễ dàng, hiệu quả hơn. Trần Tùng mong nhận được sự ủng hộ của tất cả mọi người ! Xin Chân thành cảm ơn. Nếu các bạn cảm thấy video chia sẻ này hữu ích hãy ủng hộ Trần Tùng một ly cà phê làm động lực để Tùng sản xuất thật nhiều nội dung hơn nữa. Số tài khoản: 6460442575 BIDV TRAN THANH TUNG Mọi chi tiết xin hãy liên hệ Trần Tùng qua số điện thoại/zalo: 033.889.1386 + Để học guitar được dễ dàng, có lộ trình và đúng phương pháp các bạn có thể ủng hộ Trần Tùng qua bộ giáo trình mà Trần Tùng đã biên soạn rất công phu. Gồm - Giáo Trình Guitar Cơ Bản - Giáo Trình Guitar Nâng Cao - Giáo Trình Hợp Âm Màu dành cho Guitar - Giáo Trình Âm Giai - Bộ Backing Track tập luyện các điệu trên Guitar Và những kiến thức mà các bạn yêu cầu, hãy để lại bình luận để Tùng sản xuất video giúp các bạn tập luyện một cách hiệu quả nhất !",2023-05-02T09:21:08Z,Trần Tùng guitar,22,,367287,4282,653
7wsSfQnBM4o,Hướng dẫn làm bọt khô giảm stress #genz #review #douyin #giaitri #haihuoc #stressrelief,,2025-08-21T04:59:38Z,Bối Hàn Yên,22,,3640961,21381,158
pljNK56BWYE,"Bài Tập Giảm Đau Lưng Dưới – Hướng Dẫn Nhanh, Hiệu Quả","Động tác đơn giản hỗ trợ giảm đau lưng dưới, ai cũng có thể thực hiện tại nhà. 💡 Khi tập thực tế: ✔ Giữ tư thế từ 30 giây mỗi lần ✔ Lặp lại 3–5 hiệp ✔ Hít thở chậm và đều để đạt hiệu quả tốt nhất Hashtags: #Shorts #DauLungDuoi #GiamDauLung #BackPainRelief #DailyStretch #HomeWorkout #Wellness #Fitness Yoga An Viên - Đào tạo HLV Yoga Chuyên Nghiệp 🍀 ĐÀO TẠO GIÁO VIÊN YOGA cấp chứng chỉ ALLIANCE Quốc tế 200H và 500H Hỗ trợ cấp chứng chỉ Liên Đoàn Yoga và Tổng Cục Thể Thao . (Đóng phí 1 lần học trọn đời cam kết chất lượng đào tạo) ----------------------------------------------------------------------- Tham Gia Khóa Học HLV Yoga 200H : https://yogaanvien.vn/khoa-dao-tao-hlv-yoga-chuyen-sau-tro-thanh-hlv-yoga-chuyen-nghiep/ ------------------------------------------------------------- Website : http://yogaanvien.vn https://hlvyoga.vn Facebook : https://www.facebook.com/yoga.anvien Fanpage : https://www.facebook.com/yogaanvien.vn/ hotline/Zalo: 0985337568 Group Yoga miễn phí cho lớp cộng đồng : https://www.facebook.com/groups/yogaanvien Sỉ và lẻ dụng cụng Yoga - đồ tập Yoga : https://shopee.vn/dungcutapyoga_anvien https://shopee.vn/lethianvien * Yoga Tập Tại Nhà Miễn Phí Cho Cộng Đồng : https://www.youtube.com/playlist?list=PLsDuaMiZH5l94vd9PBTu4MGuz9QvV7QCc * Hướng Dẫn Lên Tư Thế : https://www.youtube.com/playlist?list=PLsDuaMiZH5l8eQotKyoVT_nfUAP-gfVhc * Yoga Cho Người Có Bệnh Lý : https://www.youtube.com/playlist?list=PLsDuaMiZH5l_V9sd2KZWio8frV1iu7UjM * Yoga Với Dụng Cụ : https://www.youtube.com/playlist?list=PLsDuaMiZH5l_3HwG7KfLiCmAPEK1gUAfr * Các Bài Tập Bổ Trợ : https://www.youtube.com/playlist?list=PLsDuaMiZH5l8XFP88R9tJTfKTqck9JUmh * Yoga Nâng Cao : https://www.youtube.com/playlist?list=PLsDuaMiZH5l_FQWtuLlMN136z2VjBYy1V * Nhạc Tập yoga Thư Giãn : https://www.youtube.com/playlist?list=PLsDuaMiZH5l9e-isC1YEKES1Gxnkp-Tdc * Bài Dẫn Thiền : https://www.youtube.com/playlist?list=PLsDuaMiZH5l-cp6bFw-O7Da3Hjo6y_YJ- * Chuỗi bài dành cho HLV : https://www.youtube.com/watch?v=ohVfMwB1b1M&list=PLsDuaMiZH5l9FIanV-_lKtMcLONQ8YKBm",2025-10-05T21:31:10Z,Yoga An Viên - Đào Tạo huấn luyện viên Yoga,17,yoga cho nguoi moi|yoga can ban|day hlv yoga|hoc yoga online|hoc hlv yoga|hoc yoga co ban|hoc yoga truc tuyen|yoga an vien|yoga cho người mới bắt đầu|yoga tại nhà|yoga cơ bản|yoga trị liệu|yoga giảm mỡ bụng|tập yoga tại nhà|tập yoga giảm mỡ bụng|tập yoga giảm cân|huong dan tap yoga|bài tập yoga tại nhà|tập yoga cho người mới bắt đầu|yoga nâng cao|yoga chào mặt trời|hướng dẫn tập yoga|hướng dẫn tập yoga tại nhà|bài tập yoga giảm mỡ bụng,29333,705,3
7fDzNAQLSfM,Bài Hướng Dẫn - XIN CHÀO 34 TỈNH THÀNH // biên đạo : Mai Linh // xem bài mẫu & cùng hướng👇,bài nhảy mẫu 👉 https://youtu.be/_B52RH0EhNM?si=VHZjTtmDN9jouK1Y 👉 https://youtu.be/OzgdD62hWvI?si=ACKWi3ei_s-dvxIc,2025-07-17T11:42:31Z,Mai Linh - Vui Khoẻ Mỗi Ngày,22,,83961,345,59
WLBUz3-8Me8,[SPRUNKI] Cappuccina hướng dẫn Tung Tung Sahur ăn mì kiểu “sang chảnh” #incredibox #shorts,[SPRUNKI] Cappuccina hướng dẫn Tung Tung Sahur ăn mì kiểu “sang chảnh” #incredibox #shorts,2025-09-02T03:00:36Z,Anh Hùng Shorts,22,Sprunki,1886956,9594,16
Ky0LkV8hoDQ,Xu hướng dẫn đầu/kykycute #kykytv,,2024-09-25T05:23:54Z,Ky ky cute,22,,5362245,43903,201
1Q-ZWbo-XlE,Hướng dẫn xoay đá 360 độ,,2021-11-29T12:13:57Z,Võ Thuật Tự Vệ - HMS,22,,1282267,15450,108
nf2cPTn-GiE,Hướng Dẫn Cách Ngã Xe An Toàn Mà Ai Cũng Cần Biết!,"Liên hệ Quảng Cáo 📞 SĐT: 0904.856.195 ✉ Email: diemngaomix@gmail.com 🌐 Zalo: 0904856195 Kết nối ngay để cùng tạo nên những giá trị đột phá! • Lưu ý quan trọng: 1. Không sử dụng TikTok Kênh Điềm Trần TV không có tài khoản TikTok. Các tài khoản mạo danh đều là giả. 2. Không dùng Facebook Hiện tại kênh không liên kết với bất kỳ Facebook nào. 3. Cảnh báo mạo danh Nếu bạn thấy tài khoản nào giả mạo, vui lòng báo cáo giúp mình.",2024-11-03T10:38:34Z,Tô Minh Điềm,24,,3794543,17757,10
K_mB0WY4lJ4,Hướng dẫn vẽ bông hoa cơ bản 🌸 #thienmink1 #artist #draw #art #drawing #flowers #shorts #foryou,,2024-10-03T03:21:39Z,Thanh Thanh,22,,2026690,14041,164
VbV8PhEJYIE,Hướng dẫn cách bắn góc 45 độ #slingshot #sungnacaosu #nacaosu #kenhchiase #shorts,"Hướng dẫn cách bắn góc 45 độ #slingshot #sungnacaosu #nacaosu #kenhchiase #shorts kênh chuyên đăng tải các video về ná cao su, săn bắt chim thú để sính tồn bắng ná cao su, săn bắt động vật để làm thức ăn. video mang tính giải trí mong được anh em đón nhận và tương tác với kênh bằng cách like, bình luận và bấm đăng ký kênh. Nếu anh em có yêu mến xin ủng hộ kênh bằng cách mua sản phẩm được ghim bên góc trái của video nhé! Cám ơn anh em rất nhiều! chúc anh em có thật nhiều sức khỏe và may mắn trong cuộc sống.",2025-01-27T00:36:05Z,kênh chia sẻ,22,Hướng dẫn cách bắn góc 45 độ|súng ná cao su|sungnacaosu|nỏ bắn bi|nobanbi|súng ná|sungna|súng thun|sungthun|slingshot|phụ kiện súng ná cao su|phukiensungnacaosu|phụ kiện nỏ bắn bi|phukiennobanbi|superslingshot|kênh chia sẻ|kenhchiase|săn bắt và chế bién món ăn|ẩm thực|cô gái đi săn với ná cao su|cô gái đi săn bắn bằng súng ná cải tiến|cô gái bắn ná|cô gái sinh tồn với ná cao su|hunting for survival|ná cao su|na cao su|súng cao su|sungcaosu|sung cao su,1134568,5003,26
oT7DI72I-FI,HƯỚNG DẪN MÚA Ô / VẤN VƯƠNG CHỢ TÌNH,💥BÀI MẪU :https://youtu.be/xAuu1WjDPSA?si=sY2XDnksQZcC_Ckn 💥TẬP CHẬM :https://youtu.be/8rI1AEFENxo?si=j4juaMUxdxkG9Qft 💥CÙNG CHIỀU :https://youtu.be/pzB4E4eo6dM?si=AjaAKjKHmR7y1GwD ~~~~~~~~~~~~~~~~~ - Nhận biên đạo theo yêu cầu . Gửi video riêng Zalo : 0948487718 facebook : https://www.facebook.com/tuanh.giang.98 ------------------------- KÊNH CHUYÊN THỂ DỤC DƯỠNG SINH CỦA TÚ ANH : https://youtube.com/channel/UCFXWV2hxiUIqKLOlpyjD0Zw,2024-05-02T13:00:51Z,Tú Anh Múa Yoga,22,,125183,890,53
hiAk1a3DIdo,HƯỚNG DẪN | XINH TƯƠI VIỆT NAM - DÂN VŨ TT ĐỒNG DIỄN / Leo (BÀI KHỚP NHẠC BẤM▶️),"💥 LINK BÀI KHỚP NHẠC ĐÂY CẢ NHÀ NHÉ 🥰: https://youtu.be/ipfRiWzjBCg 🌈Các bạn nhớ ấn đăng ký kênh Leo nha, quan trọng lắm đó ❤ Mỗi sub các bạn click là động lực cho Leo ra nhiều sản phẩm mới và hay hơn trên kênh nhé ❤ 🌈Tham gia làm hội viên của kênh ZumbaLeo để được hưởng đặc quyền: https://www.youtube.com/channel/UCouNly0pBfUPFGwgL-V75oQ/join Lê Việt Long, stk: 81437165, VP bank (nội dung ghi tên & Gói HV) Leo Zalo: 0976134046 📢📢 THÔNG BÁO: ✔Cám ơn sự yêu mến và ủng hộ của quí vị và các bạn !!! ✔Leo tuyển sinh lớp nhảy Online cho chị em cô bác xa gần!!💃 Khai giảng hàng tháng.... 👉 Lớp Zumba Cơ Bản 18h00 thứ 2,4,6. Trên Zoom online. 👉 Lớp Shuffle dance Căn Bản-lớp Zoom Thứ 3: 5h30, 18h30, 21h00 Thứ 5: 5h30, 18h30, 21h00 Thứ 7: 5h30, 18h30, 21h00 Nội dung: các bước cơ bản đi bộ, đá, T step, đi lùi, trượt bay, xoay … đảm bảo hiệu quả rõ rệt sau 1 tuần tập luyện ❤️ Uy tín, chất lượng 😄😄😄 💥Lớp Zumba Cha cha cha Thứ 2: 19h45, 21h00 Thứ 4: 19h45, 21h00 Thứ 6: 19h45, 21h00 Inbox LEO zalo : 0976134046 Hoặc Email: longleviet83@gmail.com ✅ Theo dõi LEO qua những kênh mạng xã hội dưới đây nhé: ► Facebook: https://www.facebook.com/le.long.904 ► Fanpage: https://www.facebook.com/levietlong.official ► Youtube: https://www.youtube.com/channel/UCouNly0pBfUPFGwgL-V75oQ ► TikTok: https://www.tiktok.com/@zumbaleo.lvl?lang=vi-VN ✅ Mọi liên hệ về hợp tác công việc mọi người vui lòng liên lạc theo số điện thoại và địa chỉ dưới đây: 👉• 0976134046 📷• Email: longleviet83@gmail.com ✅ Mọi vấn đề liên quan đến bản quyền liên hệ: Email: support@metub.net hoặc: longleviet83@gmail.com CHÂN THÀNH CÁM ƠN CÁC BẠN RẤT NHIỀU !!!",2023-03-22T04:00:18Z,Zumba LeO,26,linedance|howtodance|zumbaleo|nhaychachacha|leochachacha,251385,2168,53
OEPKgcI7lUs,Hướng dẫn nhảy MỘNG ĐẸP NGÀY XƯA/Chân nữ,Bài ghép nhạc bấm phía dưới 👇👇👇 https://youtu.be/dzAqyl-aeQQ,2024-04-02T11:16:21Z,Trần Oanh mp,22,,369972,2323,246
W_A5_SobKyo,Bài Hướng Dẫn - TẠM BIỆT 29 TỈNH THÀNH // Dân Vũ - phù hợp mọi lứa tuổi // xem bài mẫu & cùng hướng👇,bài nhảy mẫu 👉 https://youtu.be/F2KxOUC0zA8?si=AZrhVe8PrN9rnqrL bài nhảy cùng hướng 👉 https://youtu.be/WrPzPyHzAe4?si=fhK3XwZ6OQiTFv2y,2025-07-12T22:38:13Z,Mai Linh - Vui Khoẻ Mỗi Ngày,22,,22640,119,23
k5sEbeLBNUA,"Pen spinning tutorial / hướng dẫn kĩ thuật quay bút dễ nhất, mới chơi cũng làm được #penspinning",,2023-03-14T12:23:44Z,Neko Paka,22,,352846,2135,41
a5chv3OAtkY,Hướng dẫn cách giải Rubik 3x3 - Giải Rubik 3x3 theo điệu nhạc cực hay | Speedcube,"Hướng dẫn cách giải Rubik 3x3 - Giải Rubik 3x3 theo điệu nhạc cực hay ---------------------------------------------------------------------------------- Nhạc trong Video: Friendships ---------------------------------------------------------------------------------- Nhằm giúp bạn dễ tìm kiếm và bổ sung cho bộ sưu tập Rubik của mình, Speecube đã tổng hợp tất cả các loại Rubik hiện đang phổ biến trên thế giới. Follow kênh để chúng ta cùng unbox khám phá các loại rubik dưới đây nhé: 1. Rubik 3x3x3 cổ điển Tham khảo: Hướng dẫn cách giải Rubik 3x3. 2. Rubik 2x2x2 Tham khảo: Hướng dẫn cách giải Rubik 2x2. 3. Big Cube (Rubik từ 4x4x4 trở lên) Tham khảo: Hướng dẫn cách giải Rubik 4x4. 4. Rubik tam giác (Pyraminx) Tham khảo: Hướng dẫn cách giải Rubik tam giác (Pyraminx). 5. Rubik gương (Mirror) Tham khảo: Hướng dẫn cách giải Rubik gương (Rubik Mirror). 6. Rubik Skewb Tham khảo: Hướng dẫn cách giải Rubik Skewb. 7. Rubik Megaminx Tham khảo: Hướng dẫn cách giải Rubik Megaminx (Rubik 12 mặt). 8. Rubik Square 1 9. Rubik Clock 10. Rubik Fisher 11. Rubik Snake Tham khảo: Hướng dẫn cách giải Rubik Snake (Rubik rắn). 12. Rubik Mastermorphix 13. Rubik Magic 14. Rubik Dino 15. Rubik Ghost 16. Rubik Helicopter 17. Rubik Void 18. Rubik Gear 19. Rubik Redi 21. Rubik Ivy 20. Rubik Axis 21. Rubik Windmill Speedcube - Thách Thức Mọi Giới Gạn Speedcube hiện đang là đơn vị phân phối chính hãng được ủy quyền duy nhất tại Việt Nam cung cấp các thương hiệu Rubik nổi tiếng trên thế giới: Gan - Moyu - YJ - Shengshou - Rubik's - Dayan - Yuxin - QiYi ----------------------------------- Fapage: https://www.facebook.com/speedcube.vn Shopee: https://shopee.vn/tmspeedcube.hcm Lazada: https://www.lazada.vn/shop/speed-cube-1628064752 Tiki: https://tiki.vn/cua-hang/speedcube #speedcube #rubik #cuber",2022-04-07T04:30:01Z,SpeedCube,22,rubik 3x3|rubik|huong dan giai rubik 3x3|giải rubik 3x3 cơ bản|hướng dẫn giải rubik 3x3 cho người mới - dễ hiểu - dễ làm|giải rubik 3x3 cho người mới chơi|cách giải rubik 3x3|rubik cube|rubik biến thể|hướng dẫn giải rubik|cách giải rubik|rubiks cube solution|rubiks cube tutorial|3x3x3|3x3|cube|rubiks cube|rubiks|rubik's cube|how to solve a rubik's cube|speedcube|to solve a rubik’s cube|cara main rubik 3x3|tutorial rubik 3x3|cube rubik|trending|tiktok trend,2078835,26525,132
aGnUrahCYlY,HÁT VỀ MẸ VIỆT NAM ANH HÙNG / HƯỚNG DẪN ĐẾM NHỊP,👉NHẢY MẪU :https://youtu.be/u0h8nWs2vqo?si=4r_vI9thuo0PunB5 👉TẬP CHẬM : https://youtu.be/Y11fzl4WDxs?si=HBtr8mZWjx7hAt8X,2025-05-27T13:00:03Z,Tú Anh Múa Yoga,22,,44022,378,57
96wN_Zr_PUk,Hướng dẫn trend búng ra tiền nhé ( lưu ý dùng tiền giấy thoi nha) #tiktok #xuhung,,2025-05-23T02:01:02Z,LTH Music,22,,160642,,10
xjf_V2BkWk4,HƯỚNG DẪN CHI TIẾT : TÔI YÊU ĐẤT NƯỚC VIỆT NAM-- DÂN VŨ ĐẸP DỄ HỌC MỚI NHẤT,"Hãy đăng kí kênh thứ 2 của mình để cập nhật những bài nhảy hot mới nhất nhé: https://www.youtube.com/@danvunganha Nếu các bạn thấy video của mình hay, hãy like và subscribe, chia sẻ video để ủng hộ mình nhé! Chúc bạn xem video vui vẻ!",2024-10-01T06:50:36Z,Nhịp Sống Xanh Dance Club,22,dạy nhảy|nhaychachacha|howtodance|linedance|nhịp sống vui|lambada|daynhaychachacha|dance cover|hướng dẫn nhảy,149390,582,81
dpc2oRwAAjg,Hướng dẫn sinh tồn tại nhà khi giận bố mẹ kiểu,,2025-08-12T12:01:25Z,Anh Huy Thích Nấu Ăn,22,,11208177,101772,274
9960IPlvfTU,Hướng Dẫn Chi Tiết - MÙA XUÂN TRÊN THÀNH PHỐ HCM // bài mẫu của HLHPNVN // xem bài cùng hướng👇,Bản cùng hướng nhạc chuẩn 👉 https://youtu.be/guL93-wuvtY?si=ig9DGWWclm571uoD,2025-02-10T17:21:31Z,Mai Linh - Vui Khoẻ Mỗi Ngày,22,,194835,697,87
Y-U8WAWU6P0,HƯỚNG DẪN CHI TIẾT- XIN CHÀO 34 TỈNH THÀNH-DÂN VŨ ĐỒNG DIỄN CHO MỌI LỨA TUỔI -ĐẸP DỄ TẬP NHẤT,"Hãy đăng kí kênh thứ 2 của mình để cập nhật những bài nhảy hot mới nhất nhé: https://www.youtube.com/@danvunganha Nếu các bạn thấy video của mình hay, hãy like và subscribe, chia sẻ video để ủng hộ mình nhé! Chúc bạn xem video vui vẻ!",2025-07-23T03:23:18Z,Nhịp Sống Xanh Dance Club,22,dạy nhảy|nhaychachacha|howtodance|linedance|nhịp sống vui|lambada|daynhaychachacha|dance cover|hướng dẫn nhảy,15331,82,25
mhrx5kglWls,Giật bụng giảm mỡ Trung Quốc Hướng dẫn cách tập chậm #shorts #taptheduc #shourt,"@liengiamcan #howtoloseweight #aerobic Các bài tập giảm cân của TRUNG QUỐC và khiêu vũ từ tiktok và tập luyện của Trung Quốc ! Đó là bài tập Kiat Jud Dai của Wanyo Mori . đây là bài tập khiêu vũ và thể dục Trung Quốc rất phổ biến hiện nay .Nó rất thú vị để giảm cân và đốt cháy mỡ thừa rất hiệu quả .Nhưng nhiều người gọi đó là giảm cân giảm mỡ .Tôi đại diện cho bạn tập luyện đầy đủ kiat jud dai của châu á và tập luyện toàn bộ của Trung Quốc Full Kiat Jud Dai Workout ! Bài tập giật bụng giảm cân !Một phụ nữ châu Á nổi tiếng đã phát minh ra bài tập lan truyền và đưa nó lên TIKTOK ! Với nó ,bạn có thể giảm cân giảm mỡ bụng trong thời gian rất ngắn .Bài tập này được gọi là bài tập giảm cân Kiat Jud Day !",2022-08-23T00:38:29Z,Liên Giảm Cân,28,,5549542,70543,393
pp2aad3ZPuI,hướng dẫn buộc tóc đuôi ngựa đẹp như minh tinh - anh thích em lắm đó ​⁠@Simmy25 #meosimmy19 #simmy,,2024-09-19T07:10:42Z,Meo Simmy 19,24,,968935,7302,159
